Row,EMG-1,EMG-2,EMG-3,EMG-4,EMG-5,EMG-6
baseline,123.480864582546,393.086329619722,427.261034931455,471.982722064901,530.810485146032,838.389818458594
hands-off,210.216418645438,383.978950704874,491.938004444,424.073121384068,591.051352477824,965.462386087485
25%,274.826353955678,370.269304976813,497.672543520269,453.274722930089,607.901555304117,1040.27379492376
50%,345.931654495298,351.971522263572,511.366144043714,450.942585420389,632.392903883867,1101.45520072055
75%,420.732368755393,344.144197959515,535.942928320931,420.372573307159,664.664464743405,1152.16956705157
hands-off_2,468.9162279935,343.578819588167,539.40091305211,416.819768957272,669.027515397361,1162.66426732937
