Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
BioEng Lab,RUNNING,15-07-2020,13:40:24,00:05:47,,104,0.0,,00:00,,27,51,,,,,,,,,,170.0,70.0,198,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,104,0.0,00:00,,,,0.00,,,
,00:00:01,107,0.0,00:00,,,,0.00,,,
,00:00:02,106,0.0,00:00,,,,0.00,,,
,00:00:03,104,0.0,00:00,,,,0.00,,,
,00:00:04,104,0.0,00:00,,,,0.00,,,
,00:00:05,102,0.0,00:00,,,,0.00,,,
,00:00:06,102,0.0,00:00,,,,0.00,,,
,00:00:07,103,0.0,00:00,,,,0.00,,,
,00:00:08,103,0.0,00:00,,,,0.00,,,
,00:00:09,102,0.0,00:00,,,,0.00,,,
,00:00:10,102,0.0,00:00,,,,0.00,,,
,00:00:11,103,0.0,00:00,,,,0.00,,,
,00:00:12,106,0.0,00:00,,,,0.00,,,
,00:00:13,108,0.0,00:00,,,,0.00,,,
,00:00:14,110,0.0,00:00,,,,0.00,,,
,00:00:15,111,0.0,00:00,,,,0.00,,,
,00:00:16,110,0.0,00:00,,,,0.00,,,
,00:00:17,109,0.0,00:00,,,,0.00,,,
,00:00:18,109,0.0,00:00,,,,0.00,,,
,00:00:19,109,0.0,00:00,,,,0.00,,,
,00:00:20,110,0.0,00:00,,,,0.00,,,
,00:00:21,112,0.0,00:00,,,,0.00,,,
,00:00:22,111,0.0,00:00,,,,0.00,,,
,00:00:23,111,0.0,00:00,,,,0.00,,,
,00:00:24,109,0.0,00:00,,,,0.00,,,
,00:00:25,101,0.0,00:00,,,,0.00,,,
,00:00:26,97,0.0,00:00,,,,0.00,,,
,00:00:27,96,0.0,00:00,,,,0.00,,,
,00:00:28,100,0.0,00:00,,,,0.00,,,
,00:00:29,102,0.0,00:00,,,,0.00,,,
,00:00:30,106,0.0,00:00,,,,0.00,,,
,00:00:31,109,0.0,00:00,,,,0.00,,,
,00:00:32,112,0.0,00:00,,,,0.00,,,
,00:00:33,113,0.0,00:00,,,,0.00,,,
,00:00:34,109,0.0,00:00,,,,0.00,,,
,00:00:35,109,0.0,00:00,,,,0.00,,,
,00:00:36,108,0.0,00:00,,,,0.00,,,
,00:00:37,107,0.0,00:00,,,,0.00,,,
,00:00:38,105,0.0,00:00,,,,0.00,,,
,00:00:39,106,0.0,00:00,,,,0.00,,,
,00:00:40,107,0.0,00:00,,,,0.00,,,
,00:00:41,110,0.0,00:00,,,,0.00,,,
,00:00:42,111,0.0,00:00,,,,0.00,,,
,00:00:43,110,0.0,00:00,,,,0.00,,,
,00:00:44,108,0.0,00:00,,,,0.00,,,
,00:00:45,103,0.0,00:00,,,,0.00,,,
,00:00:46,103,0.0,00:00,,,,0.00,,,
,00:00:47,103,0.0,00:00,,,,0.00,,,
,00:00:48,104,0.0,00:00,,,,0.00,,,
,00:00:49,107,0.0,00:00,,,,0.00,,,
,00:00:50,109,0.0,00:00,,,,0.00,,,
,00:00:51,109,0.0,00:00,,,,0.00,,,
,00:00:52,106,0.0,00:00,,,,0.00,,,
,00:00:53,103,0.0,00:00,,,,0.00,,,
,00:00:54,101,0.0,00:00,,,,0.00,,,
,00:00:55,101,0.0,00:00,,,,0.00,,,
,00:00:56,103,0.0,00:00,,,,0.00,,,
,00:00:57,107,0.0,00:00,,,,0.00,,,
,00:00:58,108,0.0,00:00,,,,0.00,,,
,00:00:59,108,0.0,00:00,,,,0.00,,,
,00:01:00,108,0.0,00:00,,,,0.00,,,
,00:01:01,108,0.0,00:00,,,,0.00,,,
,00:01:02,107,0.0,00:00,,,,0.00,,,
,00:01:03,107,0.0,00:00,,,,0.00,,,
,00:01:04,105,0.0,00:00,,,,0.00,,,
,00:01:05,104,0.0,00:00,,,,0.00,,,
,00:01:06,104,0.0,00:00,,,,0.00,,,
,00:01:07,106,0.0,00:00,,,,0.00,,,
,00:01:08,110,0.0,00:00,,,,0.00,,,
,00:01:09,111,0.0,00:00,,,,0.00,,,
,00:01:10,111,0.0,00:00,,,,0.00,,,
,00:01:11,111,0.0,00:00,,,,0.00,,,
,00:01:12,112,0.0,00:00,,,,0.00,,,
,00:01:13,112,0.0,00:00,,,,0.00,,,
,00:01:14,111,0.0,00:00,,,,0.00,,,
,00:01:15,98,0.0,00:00,,,,0.00,,,
,00:01:16,90,0.0,00:00,,,,0.00,,,
,00:01:17,87,0.0,00:00,,,,0.00,,,
,00:01:18,85,0.0,00:00,,,,0.00,,,
,00:01:19,86,0.0,00:00,,,,0.00,,,
,00:01:20,101,0.0,00:00,,,,0.00,,,
,00:01:21,105,0.0,00:00,,,,0.00,,,
,00:01:22,108,0.0,00:00,,,,0.00,,,
,00:01:23,108,0.0,00:00,,,,0.00,,,
,00:01:24,110,0.0,00:00,,,,0.00,,,
,00:01:25,112,0.0,00:00,,,,0.00,,,
,00:01:26,113,0.0,00:00,,,,0.00,,,
,00:01:27,114,0.0,00:00,,,,0.00,,,
,00:01:28,113,0.0,00:00,,,,0.00,,,
,00:01:29,111,0.0,00:00,,,,0.00,,,
,00:01:30,110,0.0,00:00,,,,0.00,,,
,00:01:31,109,0.0,00:00,,,,0.00,,,
,00:01:32,110,0.0,00:00,,,,0.00,,,
,00:01:33,111,0.0,00:00,,,,0.00,,,
,00:01:34,111,0.0,00:00,,,,0.00,,,
,00:01:35,111,0.0,00:00,,,,0.00,,,
,00:01:36,111,0.0,00:00,,,,0.00,,,
,00:01:37,112,0.0,00:00,,,,0.00,,,
,00:01:38,112,0.0,00:00,,,,0.00,,,
,00:01:39,113,0.0,00:00,,,,0.00,,,
,00:01:40,113,0.0,00:00,,,,0.00,,,
,00:01:41,113,0.0,00:00,,,,0.00,,,
,00:01:42,113,0.0,00:00,,,,0.00,,,
,00:01:43,90,0.0,00:00,,,,0.00,,,
,00:01:44,89,0.0,00:00,,,,0.00,,,
,00:01:45,90,0.0,00:00,,,,0.00,,,
,00:01:46,98,0.0,00:00,,,,0.00,,,
,00:01:47,98,0.0,00:00,,,,0.00,,,
,00:01:48,102,0.0,00:00,,,,0.00,,,
,00:01:49,106,0.0,00:00,,,,0.00,,,
,00:01:50,107,0.0,00:00,,,,0.00,,,
,00:01:51,110,0.0,00:00,,,,0.00,,,
,00:01:52,113,0.0,00:00,,,,0.00,,,
,00:01:53,114,0.0,00:00,,,,0.00,,,
,00:01:54,112,0.0,00:00,,,,0.00,,,
,00:01:55,98,0.0,00:00,,,,0.00,,,
,00:01:56,95,0.0,00:00,,,,0.00,,,
,00:01:57,93,0.0,00:00,,,,0.00,,,
,00:01:58,94,0.0,00:00,,,,0.00,,,
,00:01:59,94,0.0,00:00,,,,0.00,,,
,00:02:00,98,0.0,00:00,,,,0.00,,,
,00:02:01,102,0.0,00:00,,,,0.00,,,
,00:02:02,106,0.0,00:00,,,,0.00,,,
,00:02:03,109,0.0,00:00,,,,0.00,,,
,00:02:04,112,0.0,00:00,,,,0.00,,,
,00:02:05,114,0.0,00:00,,,,0.00,,,
,00:02:06,116,0.0,00:00,,,,0.00,,,
,00:02:07,115,0.0,00:00,,,,0.00,,,
,00:02:08,112,0.0,00:00,,,,0.00,,,
,00:02:09,110,0.0,00:00,,,,0.00,,,
,00:02:10,110,0.0,00:00,,,,0.00,,,
,00:02:11,110,0.0,00:00,,,,0.00,,,
,00:02:12,109,0.0,00:00,,,,0.00,,,
,00:02:13,110,0.0,00:00,,,,0.00,,,
,00:02:14,108,0.0,00:00,,,,0.00,,,
,00:02:15,107,0.0,00:00,,,,0.00,,,
,00:02:16,106,0.0,00:00,,,,0.00,,,
,00:02:17,108,0.0,00:00,,,,0.00,,,
,00:02:18,111,0.0,00:00,,,,0.00,,,
,00:02:19,111,0.0,00:00,,,,0.00,,,
,00:02:20,113,0.0,00:00,,,,0.00,,,
,00:02:21,109,0.0,00:00,,,,0.00,,,
,00:02:22,107,0.0,00:00,,,,0.00,,,
,00:02:23,107,0.0,00:00,,,,0.00,,,
,00:02:24,98,0.0,00:00,,,,0.00,,,
,00:02:25,96,0.0,00:00,,,,0.00,,,
,00:02:26,93,0.0,00:00,,,,0.00,,,
,00:02:27,94,0.0,00:00,,,,0.00,,,
,00:02:28,103,0.0,00:00,,,,0.00,,,
