Time,SpO2(%),Pulse Rate(bpm),Motion,Vibration
13:34:03 Jul 15 2020,98,94,0,0
13:34:07 Jul 15 2020,98,93,1,0
13:34:11 Jul 15 2020,98,93,16,0
13:34:15 Jul 15 2020,98,97,0,0
13:34:19 Jul 15 2020,98,98,49,0
13:34:23 Jul 15 2020,98,98,15,0
13:34:27 Jul 15 2020,98,99,0,0
13:34:31 Jul 15 2020,98,97,0,0
13:34:35 Jul 15 2020,98,90,0,0
13:34:39 Jul 15 2020,98,95,0,0
13:34:43 Jul 15 2020,98,94,0,0
13:34:47 Jul 15 2020,98,99,0,0
13:34:51 Jul 15 2020,98,94,0,0
13:34:55 Jul 15 2020,98,95,0,0
13:34:59 Jul 15 2020,98,98,0,0
13:35:03 Jul 15 2020,97,87,0,0
13:35:07 Jul 15 2020,97,85,0,0
13:35:11 Jul 15 2020,97,82,0,0
13:35:15 Jul 15 2020,97,102,0,0
13:35:19 Jul 15 2020,97,103,0,0
13:35:23 Jul 15 2020,97,103,0,0
13:35:27 Jul 15 2020,98,111,0,0
13:35:31 Jul 15 2020,98,114,146,0
13:35:35 Jul 15 2020,98,114,148,0
13:35:39 Jul 15 2020,98,114,126,0
13:35:43 Jul 15 2020,98,111,0,0
13:35:47 Jul 15 2020,98,107,0,0
13:35:51 Jul 15 2020,98,106,0,0
13:35:55 Jul 15 2020,98,108,0,0
13:35:59 Jul 15 2020,97,106,0,0
13:36:03 Jul 15 2020,97,111,0,0
13:36:07 Jul 15 2020,97,111,0,0
13:36:11 Jul 15 2020,98,105,0,0
13:36:15 Jul 15 2020,98,106,0,0
13:36:19 Jul 15 2020,98,107,0,0
13:36:23 Jul 15 2020,98,105,0,0
13:36:27 Jul 15 2020,98,102,0,0
13:36:31 Jul 15 2020,98,106,0,0
13:36:35 Jul 15 2020,98,103,0,0
13:36:39 Jul 15 2020,98,103,0,0
13:36:43 Jul 15 2020,98,103,0,0
13:36:47 Jul 15 2020,97,104,0,0
13:36:51 Jul 15 2020,98,104,0,0
13:36:55 Jul 15 2020,98,107,0,0
13:36:59 Jul 15 2020,98,104,0,0
13:37:03 Jul 15 2020,98,100,0,0
13:37:07 Jul 15 2020,98,99,0,0
13:37:11 Jul 15 2020,98,100,0,0
13:37:15 Jul 15 2020,98,97,0,0
13:37:19 Jul 15 2020,98,97,0,0
13:37:23 Jul 15 2020,98,94,0,0
13:37:27 Jul 15 2020,98,96,0,0
13:37:31 Jul 15 2020,98,105,0,0
13:37:35 Jul 15 2020,98,101,0,0
13:37:39 Jul 15 2020,98,104,0,0
13:37:43 Jul 15 2020,98,107,0,0
13:37:47 Jul 15 2020,98,110,0,0
13:37:51 Jul 15 2020,98,113,0,0
13:37:55 Jul 15 2020,97,110,0,0
13:37:59 Jul 15 2020,97,110,0,0
13:38:03 Jul 15 2020,97,108,0,0
13:38:07 Jul 15 2020,97,108,1,0
13:38:11 Jul 15 2020,97,111,0,0
13:38:15 Jul 15 2020,97,113,0,0
13:38:19 Jul 15 2020,98,115,0,0
13:38:23 Jul 15 2020,98,115,9,0
13:38:27 Jul 15 2020,98,110,0,0
13:38:31 Jul 15 2020,98,107,0,0
13:38:35 Jul 15 2020,98,99,0,0
13:38:39 Jul 15 2020,98,97,0,0
13:38:43 Jul 15 2020,98,95,0,0
13:38:47 Jul 15 2020,98,97,0,0
13:38:51 Jul 15 2020,98,96,0,0
13:38:55 Jul 15 2020,98,97,0,0
13:38:59 Jul 15 2020,98,95,0,0
13:39:03 Jul 15 2020,98,95,0,0
13:39:07 Jul 15 2020,98,91,0,0
13:39:11 Jul 15 2020,98,85,0,0
13:39:15 Jul 15 2020,98,88,0,0
13:39:19 Jul 15 2020,98,91,0,0
13:39:23 Jul 15 2020,98,101,0,0
13:39:27 Jul 15 2020,98,98,1,0
13:39:31 Jul 15 2020,98,97,0,0
13:39:35 Jul 15 2020,98,98,0,0
13:39:39 Jul 15 2020,97,97,0,0
13:39:43 Jul 15 2020,97,96,0,0
13:39:47 Jul 15 2020,97,100,0,0
13:39:51 Jul 15 2020,97,103,9,0
13:39:55 Jul 15 2020,97,103,0,0
13:39:59 Jul 15 2020,97,103,0,0
13:40:03 Jul 15 2020,97,103,0,0
13:40:07 Jul 15 2020,97,106,0,0
13:40:11 Jul 15 2020,97,107,4,0
13:40:15 Jul 15 2020,97,102,0,0
13:40:19 Jul 15 2020,98,97,0,0
13:40:23 Jul 15 2020,98,101,0,0
13:40:27 Jul 15 2020,98,101,40,0
13:40:31 Jul 15 2020,98,103,147,0
13:40:35 Jul 15 2020,98,103,3,0
13:40:39 Jul 15 2020,98,106,0,0
13:40:43 Jul 15 2020,97,103,0,0
13:40:47 Jul 15 2020,97,105,0,0
13:40:51 Jul 15 2020,97,105,5,0
13:40:55 Jul 15 2020,97,110,0,0
13:40:59 Jul 15 2020,97,112,0,0
13:41:03 Jul 15 2020,96,115,0,0
13:41:07 Jul 15 2020,96,110,0,0
13:41:11 Jul 15 2020,96,111,0,0
13:41:15 Jul 15 2020,96,111,5,0
13:41:19 Jul 15 2020,96,109,0,0
13:41:23 Jul 15 2020,96,108,0,0
13:41:27 Jul 15 2020,96,108,0,0
13:41:31 Jul 15 2020,96,108,0,0
13:41:35 Jul 15 2020,96,102,1,0
13:41:39 Jul 15 2020,96,101,0,0
13:41:43 Jul 15 2020,96,102,0,0
13:41:47 Jul 15 2020,96,100,0,0
13:41:51 Jul 15 2020,96,101,0,0
13:41:55 Jul 15 2020,96,100,0,0
13:41:59 Jul 15 2020,96,100,0,0
13:42:03 Jul 15 2020,96,100,0,0
13:42:07 Jul 15 2020,96,102,0,0
13:42:11 Jul 15 2020,96,103,43,0
13:42:15 Jul 15 2020,96,110,0,0
13:42:19 Jul 15 2020,97,115,0,0
13:42:23 Jul 15 2020,97,115,9,0
13:42:27 Jul 15 2020,97,116,0,0
13:42:31 Jul 15 2020,97,113,0,0
13:42:35 Jul 15 2020,97,108,2,0
13:42:39 Jul 15 2020,97,108,1,0
13:42:43 Jul 15 2020,97,106,0,0
13:42:47 Jul 15 2020,97,104,0,0
13:42:51 Jul 15 2020,97,103,0,0
13:42:55 Jul 15 2020,98,104,0,0
13:42:59 Jul 15 2020,98,106,0,0
13:43:03 Jul 15 2020,98,105,88,0
13:43:07 Jul 15 2020,98,105,5,0
13:43:11 Jul 15 2020,98,105,2,0
13:43:15 Jul 15 2020,98,105,4,0
13:43:19 Jul 15 2020,98,105,3,0
13:43:23 Jul 15 2020,98,105,2,0
13:43:27 Jul 15 2020,98,105,11,0
13:43:31 Jul 15 2020,98,105,2,0
13:43:35 Jul 15 2020,98,105,3,0
13:43:39 Jul 15 2020,98,106,1,0
13:43:43 Jul 15 2020,98,106,2,0
13:43:47 Jul 15 2020,98,106,4,0
13:43:51 Jul 15 2020,98,106,3,0
13:43:55 Jul 15 2020,98,107,16,0
13:43:59 Jul 15 2020,98,107,28,0
13:44:03 Jul 15 2020,98,107,13,0
13:44:07 Jul 15 2020,98,107,7,0
13:44:11 Jul 15 2020,98,105,4,0
13:44:15 Jul 15 2020,98,104,4,0
13:44:19 Jul 15 2020,97,105,6,0
13:44:23 Jul 15 2020,97,105,4,0
13:44:27 Jul 15 2020,97,105,7,0
13:44:31 Jul 15 2020,97,105,4,0
13:44:35 Jul 15 2020,97,105,14,0
13:44:39 Jul 15 2020,97,105,4,0
13:44:43 Jul 15 2020,97,106,16,0
13:44:47 Jul 15 2020,97,105,12,0
13:44:51 Jul 15 2020,96,100,16,0
13:44:55 Jul 15 2020,96,100,9,0
13:44:59 Jul 15 2020,96,100,4,0
13:45:03 Jul 15 2020,96,100,4,0
13:45:07 Jul 15 2020,96,100,2,0
13:45:11 Jul 15 2020,96,100,12,0
13:45:15 Jul 15 2020,96,99,53,0
13:45:19 Jul 15 2020,95,96,54,0
13:45:23 Jul 15 2020,95,96,8,0
13:45:27 Jul 15 2020,96,101,4,0
13:45:31 Jul 15 2020,96,101,3,0
13:45:35 Jul 15 2020,97,102,2,0
13:45:39 Jul 15 2020,98,108,3,0
13:45:43 Jul 15 2020,98,103,4,0
13:45:47 Jul 15 2020,98,99,0,0
13:45:51 Jul 15 2020,98,99,2,0
13:45:55 Jul 15 2020,98,100,3,0
13:45:59 Jul 15 2020,97,104,0,0
13:46:03 Jul 15 2020,96,103,0,0
13:46:07 Jul 15 2020,97,100,0,0
13:46:11 Jul 15 2020,98,104,2,0
13:46:15 Jul 15 2020,98,99,3,0
13:46:19 Jul 15 2020,98,99,66,0
13:46:23 Jul 15 2020,98,99,18,0
13:46:27 Jul 15 2020,98,99,18,0
13:46:31 Jul 15 2020,98,99,12,0
13:46:35 Jul 15 2020,98,99,13,0
13:46:39 Jul 15 2020,98,95,39,0
13:46:43 Jul 15 2020,98,95,11,0
13:46:47 Jul 15 2020,98,95,19,0
13:46:51 Jul 15 2020,98,95,20,0
13:46:55 Jul 15 2020,98,95,16,0
13:46:59 Jul 15 2020,98,96,7,0
13:47:03 Jul 15 2020,97,95,6,0
13:47:07 Jul 15 2020,97,100,0,0
13:47:11 Jul 15 2020,97,100,0,0
13:47:15 Jul 15 2020,97,102,0,0
13:47:19 Jul 15 2020,97,102,26,0
13:47:23 Jul 15 2020,97,102,21,0
13:47:27 Jul 15 2020,97,102,4,0
13:47:31 Jul 15 2020,97,105,22,0
13:47:35 Jul 15 2020,97,105,5,0
13:47:39 Jul 15 2020,97,105,7,0
13:47:43 Jul 15 2020,97,105,29,0
13:47:47 Jul 15 2020,97,105,37,0
13:47:51 Jul 15 2020,97,105,5,0
13:47:55 Jul 15 2020,97,104,6,0
13:47:59 Jul 15 2020,97,105,22,0
13:48:03 Jul 15 2020,97,97,0,0
13:48:07 Jul 15 2020,97,89,5,0
13:48:11 Jul 15 2020,97,89,7,0
13:48:15 Jul 15 2020,97,86,60,0
13:48:19 Jul 15 2020,255,65535,4,0
13:48:23 Jul 15 2020,255,65535,0,0
