Row,EMG-1,EMG-2,EMG-3,EMG-4,EMG-5,EMG-6
baseline,102.115763915254,740.752403715337,1354.79654342999,1360.86659340131,657.066814513673,1309.58330864735
hands-off,203.775100973499,752.912035032098,1661.18578361049,979.895095690555,694.57978865771,1576.60655831256
25%,316.712326001641,830.455091860077,1857.59212071623,695.351733970352,731.366869146905,1790.68868666192
50%,417.682397264205,853.521544638578,1946.69661782416,574.474039621108,747.063041499471,1907.32734685653
75%,516.151837954136,853.404986139358,2026.5865539919,526.466652399679,705.690233878881,1971.06505410718
hands-off_2,604.504459681824,840.360889488223,2041.33081695001,521.91965263814,691.076352794123,1981.85066935592
