Elapsed time, MotionVR pitch, MotionVR roll, MotionVR heave, StaticVR ML, StaticVR AP, Static ML raw, StaticVR AP raw
0.000,0,0,0,0.0260843,-0.02517807,0.02564037,-0.02372611
0.010,0,0,0,0.02602112,-0.02501976,0.02530277,-0.02428323
0.022,0,0,0,0.02595568,-0.02488542,0.02530277,-0.02428323
0.033,0,0,0,0.02589178,-0.02476919,0.02530277,-0.02428323
0.044,0,0,0,0.02583122,-0.02466822,0.02530277,-0.02428323
0.055,0,0,0,0.02577519,-0.02458084,0.02530277,-0.02428323
0.066,0,0,0,0.02572322,-0.02450538,0.02550185,-0.02409869
0.077,0,0,0,0.02567267,-0.0244298,0.02524984,-0.02400833
0.089,0,0,0,0.02562463,-0.02435911,0.02524984,-0.02400833
0.100,0,0,0,0.02557945,-0.02429587,0.02524984,-0.02400833
0.111,0,0,0,0.02553749,-0.02424115,0.02524984,-0.02400833
0.122,0,0,0,0.02548432,-0.02422363,0.02487755,-0.02473426
0.134,0,0,0,0.02540576,-0.02427125,0.02430844,-0.02587664
0.145,0,0,0,0.02531767,-0.02435112,0.02430844,-0.02587664
0.156,0,0,0,0.02522802,-0.02444696,0.02430844,-0.02587664
0.167,0,0,0,0.02514029,-0.02455044,0.02430844,-0.02587664
0.178,0,0,0,0.02505636,-0.02465689,0.02430844,-0.02587664
0.188,0,0,0,0.02500629,-0.0248065,0.0250628,-0.02700996
0.199,0,0,0,0.0249784,-0.02499926,0.02514553,-0.02766335
0.211,0,0,0,0.02496314,-0.02520895,0.02514553,-0.02766335
0.223,0,0,0,0.02495527,-0.02542174,0.02514553,-0.02766335
0.233,0,0,0,0.02495217,-0.02563071,0.02514553,-0.02766335
0.245,0,0,0,0.02493834,-0.02583349,0.0247823,-0.0276922
0.255,0,0,0,0.02493215,-0.02601135,0.02508223,-0.02728432
0.267,0,0,0,0.02493072,-0.02617133,0.02508223,-0.02728432
0.279,0,0,0,0.0249325,-0.02631688,0.02508223,-0.02728432
0.289,0,0,0,0.02493668,-0.02644974,0.02493989,-0.02714759
0.301,0,0,0,0.02493691,-0.02656639,0.02504313,-0.02771479
0.312,0,0,0,0.02493978,-0.02669227,0.02504313,-0.02771479
0.323,0,0,0,0.02494419,-0.0268175,0.02504313,-0.02771479
0.334,0,0,0,0.02495003,-0.02693713,0.02504313,-0.02771479
0.346,0,0,0,0.02496862,-0.02708244,0.02535224,-0.02859253
0.357,0,0,0,0.02499378,-0.02723408,0.02535224,-0.02859253
0.368,0,0,0,0.02498198,-0.02742445,0.0243175,-0.02970082
0.379,0,0,0,0.02495337,-0.02762538,0.0243175,-0.02970082
0.390,0,0,0,0.0249176,-0.02782279,0.0243175,-0.02970082
0.401,0,0,0,0.02487993,-0.02800965,0.0243175,-0.02970082
0.412,0,0,0,0.02484202,-0.02818358,0.0243175,-0.02970082
0.423,0,0,0,0.02479434,-0.02835429,0.02407038,-0.02993506
0.434,0,0,0,0.02474582,-0.0285455,0.02416182,-0.03067416
0.446,0,0,0,0.02469707,-0.02873957,0.02416182,-0.03067416
0.456,0,0,0,0.02464831,-0.02892768,0.02416182,-0.03067416
0.468,0,0,0,0.02459979,-0.02910548,0.02416182,-0.03067416
0.480,0,0,0,0.02454019,-0.02934664,0.02383184,-0.03260225
0.491,0,0,0,0.02447724,-0.02961183,0.02383184,-0.03260225
0.502,0,0,0,0.02441442,-0.02988148,0.02383184,-0.03260225
0.513,0,0,0,0.02435374,-0.03014576,0.02383184,-0.03260225
0.524,0,0,0,0.02429628,-0.0303998,0.02442014,-0.03411257
0.535,0,0,0,0.02426434,-0.03069913,0.02426779,-0.03553981
0.546,0,0,0,0.02424026,-0.0310657,0.02426779,-0.03553981
0.557,0,0,0,0.02422142,-0.03145301,0.02426779,-0.03553981
0.569,0,0,0,0.02420652,-0.03183806,0.02426779,-0.03553981
0.580,0,0,0,0.02419484,-0.03220922,0.02426779,-0.03553981
0.591,0,0,0,0.02416468,-0.03267992,0.02371812,-0.03864259
0.603,0,0,0,0.02412724,-0.03318352,0.02371812,-0.03864259
0.614,0,0,0,0.02408814,-0.03368688,0.02371812,-0.03864259
0.625,0,0,0,0.02405047,-0.03417313,0.02371812,-0.03864259
0.636,0,0,0,0.0240159,-0.03463542,0.02371812,-0.03864259
0.646,0,0,0,0.02398539,-0.03507042,0.02371812,-0.03864259
0.657,0,0,0,0.02395368,-0.03552133,0.02361333,-0.03977191
0.669,0,0,0,0.02390647,-0.0360322,0.02319181,-0.0415259
0.680,0,0,0,0.02385306,-0.03655481,0.02319181,-0.0415259
0.691,0,0,0,0.02379823,-0.03706515,0.02319181,-0.0415259
0.703,0,0,0,0.02374649,-0.03762341,0.0232383,-0.04340476
0.714,0,0,0,0.02367067,-0.03827417,0.02254295,-0.0457269
0.725,0,0,0,0.02358532,-0.03894806,0.02254295,-0.0457269
0.736,0,0,0,0.02349782,-0.03961039,0.02254295,-0.0457269
0.748,0,0,0,0.02341151,-0.04024374,0.02254295,-0.0457269
0.759,0,0,0,0.0233283,-0.04083943,0.02247787,-0.04735476
0.770,0,0,0,0.02324629,-0.04145867,0.02212298,-0.04918665
0.780,0,0,0,0.02315533,-0.0421375,0.02217937,-0.04918665
0.791,0,0,0,0.02306259,-0.04282069,0.02217937,-0.04918665
0.803,0,0,0,0.02297139,-0.0434804,0.02217937,-0.04918665
0.814,0,0,0,0.02288342,-0.04410297,0.02217937,-0.04918665
0.825,0,0,0,0.02279913,-0.04475188,0.02213919,-0.05095989
0.836,0,0,0,0.02271199,-0.04543173,0.02193689,-0.05203617
0.848,0,0,0,0.02262735,-0.04610157,0.02193689,-0.05203617
0.859,0,0,0,0.02254725,-0.04674113,0.02193689,-0.05203617
0.870,0,0,0,0.02247322,-0.04734015,0.02221501,-0.05302066
0.881,0,0,0,0.0224086,-0.0479548,0.02191806,-0.05428189
0.892,0,0,0,0.02234674,-0.04858422,0.02191806,-0.05428189
0.904,0,0,0,0.02228904,-0.04919708,0.02191806,-0.05428189
0.915,0,0,0,0.02223635,-0.04977739,0.02191806,-0.05428189
0.926,0,0,0,0.02219629,-0.05032301,0.02211583,-0.05442512
0.939,0,0,0,0.02216506,-0.05082697,0.02211583,-0.05442512
0.948,0,0,0,0.0221585,-0.05127692,0.02257991,-0.05414617
0.960,0,0,0,0.02216518,-0.05168045,0.02257991,-0.05414617
0.971,0,0,0,0.02217937,-0.05204117,0.02257991,-0.05414617
0.982,0,0,0,0.02219844,-0.05236113,0.02257991,-0.05414617
0.993,0,0,0,0.02223253,-0.05262315,0.0228827,-0.05359685
1.004,0,0,0,0.02227557,-0.05283296,0.02293873,-0.05331039
1.016,0,0,0,0.02232265,-0.0530051,0.02293873,-0.05331039
1.027,0,0,0,0.02237105,-0.05314666,0.02293873,-0.05331039
1.038,0,0,0,0.02241969,-0.0532614,0.02293873,-0.05331039
1.049,0,0,0,0.02246761,-0.05335093,0.02293873,-0.05331039
1.061,0,0,0,0.02253413,-0.05330187,0.02344549,-0.05027157
1.072,0,0,0,0.02260792,-0.05318177,0.02344549,-0.05027157
1.083,0,0,0,0.02268338,-0.05302459,0.02344549,-0.05027157
1.094,0,0,0,0.02275777,-0.05284715,0.02344549,-0.05027157
1.107,0,0,0,0.02288985,-0.05241477,0.02323174,-0.04899812
1.117,0,0,0,0.02294266,-0.05214947,0.02394927,-0.04754114
1.128,0,0,0,0.02301705,-0.05182171,0.02394927,-0.04754114
1.139,0,0,0,0.02309918,-0.05146956,0.02394927,-0.04754114
1.149,0,0,0,0.02318215,-0.05111229,0.02394927,-0.04754114
1.160,0,0,0,0.0232625,-0.05076158,0.02394927,-0.04754114
1.171,0,0,0,0.02333868,-0.05044663,0.02395165,-0.0481177
1.183,0,0,0,0.02340412,-0.05018747,0.02380717,-0.04885608
1.194,0,0,0,0.0234611,-0.04996449,0.02380717,-0.04885608
1.205,0,0,0,0.02351141,-0.04976821,0.02380717,-0.04885608
1.216,0,0,0,0.02355552,-0.04959381,0.02380717,-0.04885608
1.227,0,0,0,0.02359486,-0.0494386,0.02380717,-0.04885608
1.239,0,0,0,0.02366042,-0.04934341,0.02460027,-0.04995847
1.250,0,0,0,0.02373099,-0.04931593,0.02447605,-0.05077004
1.262,0,0,0,0.02380145,-0.04932761,0.02447605,-0.05077004
1.272,0,0,0,0.02386928,-0.04936314,0.02447605,-0.05077004
1.283,0,0,0,0.02393937,-0.04946536,0.02463341,-0.05209386
1.295,0,0,0,0.02402091,-0.04967231,0.02496672,-0.05389982
1.306,0,0,0,0.02410507,-0.04993069,0.02496672,-0.05389982
1.317,0,0,0,0.02418733,-0.05021381,0.02496672,-0.05389982
1.329,0,0,0,0.02427697,-0.0505805,0.02526355,-0.05577296
1.339,0,0,0,0.02436757,-0.05098057,0.02526355,-0.05577296
1.350,0,0,0,0.02445579,-0.05138886,0.02494669,-0.05757767
1.362,0,0,0,0.02452791,-0.05186212,0.02494669,-0.05757767
1.373,0,0,0,0.02458954,-0.05235666,0.02494669,-0.05757767
1.384,0,0,0,0.02464378,-0.0528506,0.02494669,-0.05757767
1.395,0,0,0,0.02469158,-0.05333114,0.02494669,-0.05757767
1.406,0,0,0,0.02473855,-0.0539887,0.02507508,-0.06270158
1.418,0,0,0,0.02478337,-0.05471158,0.02507508,-0.06270158
1.429,0,0,0,0.02482522,-0.05544376,0.02507508,-0.06270158
1.440,0,0,0,0.02486396,-0.05615723,0.02507508,-0.06270158
1.451,0,0,0,0.02489924,-0.05683804,0.02507508,-0.06270158
1.462,0,0,0,0.0249362,-0.05753428,0.02520299,-0.06411088
1.473,0,0,0,0.02498198,-0.05829763,0.02546728,-0.06626576
1.484,0,0,0,0.02502966,-0.05906785,0.02546728,-0.06626576
1.496,0,0,0,0.02507567,-0.05981463,0.02546728,-0.06626576
1.507,0,0,0,0.02511835,-0.06052291,0.02546728,-0.06626576
1.518,0,0,0,0.02518272,-0.06122315,0.02614272,-0.06725556
1.529,0,0,0,0.02526546,-0.06190145,0.02639675,-0.06747937
1.540,0,0,0,0.02535427,-0.06254309,0.02639675,-0.06747937
1.553,0,0,0,0.02544308,-0.06314069,0.02639675,-0.06747937
1.563,0,0,0,0.02552915,-0.06369048,0.02639675,-0.06747937
1.574,0,0,0,0.02561104,-0.06419277,0.02639675,-0.06747937
1.586,0,0,0,0.0256803,-0.06459713,0.02640355,-0.06476265
1.597,0,0,0,0.02574992,-0.06488252,0.02640355,-0.06476265
1.608,0,0,0,0.02581763,-0.06509173,0.02640355,-0.06476265
1.619,0,0,0,0.0258826,-0.06524909,0.02640355,-0.06476265
1.630,0,0,0,0.02594435,-0.06536657,0.02640355,-0.06476265
1.641,0,0,0,0.02597737,-0.06538779,0.02574146,-0.06313699
1.653,0,0,0,0.02599812,-0.06531155,0.02582407,-0.06207341
1.663,0,0,0,0.02601099,-0.06517959,0.02582407,-0.06207341
1.674,0,0,0,0.02601886,-0.06501281,0.02582407,-0.06207341
1.685,0,0,0,0.02602291,-0.06482172,0.02520716,-0.0592562
1.696,0,0,0,0.02598584,-0.06444055,0.02483547,-0.05742282
1.708,0,0,0,0.0259285,-0.06397253,0.02483547,-0.05742282
1.719,0,0,0,0.0258615,-0.06346917,0.02483547,-0.05742282
1.731,0,0,0,0.02578998,-0.06295627,0.02483547,-0.05742282
1.742,0,0,0,0.02570653,-0.06238836,0.02457738,-0.05590767
1.753,0,0,0,0.02561831,-0.06180567,0.02457738,-0.05590767
1.764,0,0,0,0.02551913,-0.06118107,0.02432752,-0.05459684
1.776,0,0,0,0.02541649,-0.06055355,0.02432752,-0.05459684
1.787,0,0,0,0.02531385,-0.05994236,0.02432752,-0.05459684
1.798,0,0,0,0.02521288,-0.0593574,0.02432752,-0.05459684
1.809,0,0,0,0.02511549,-0.05880505,0.02432752,-0.05459684
1.820,0,0,0,0.02501142,-0.05824703,0.02389574,-0.05231047
1.831,0,0,0,0.02490282,-0.05766147,0.02389574,-0.05231047
1.842,0,0,0,0.02479577,-0.05708545,0.02389574,-0.05231047
1.853,0,0,0,0.02469349,-0.05653763,0.02389574,-0.05231047
1.864,0,0,0,0.02458811,-0.05599463,0.02365994,-0.05146378
1.875,0,0,0,0.0244832,-0.05544615,0.02360916,-0.05067497
