Time,SpO2(%),Pulse Rate(bpm),Motion,Vibration
13:35:46 Jul 02 2020,98,78,0,0
13:35:50 Jul 02 2020,98,74,0,0
13:35:54 Jul 02 2020,98,72,7,0
13:35:58 Jul 02 2020,98,74,0,0
13:36:02 Jul 02 2020,98,75,19,0
13:36:06 Jul 02 2020,98,75,5,0
13:36:10 Jul 02 2020,98,75,2,0
13:36:14 Jul 02 2020,98,72,0,0
13:36:18 Jul 02 2020,98,69,2,0
13:36:22 Jul 02 2020,98,69,2,0
13:36:26 Jul 02 2020,97,70,0,0
13:36:30 Jul 02 2020,97,72,0,0
13:36:34 Jul 02 2020,98,72,0,0
13:36:38 Jul 02 2020,97,71,1,0
13:36:42 Jul 02 2020,97,72,1,0
13:36:46 Jul 02 2020,98,72,2,0
13:36:50 Jul 02 2020,98,72,117,0
13:36:54 Jul 02 2020,98,72,31,0
13:36:58 Jul 02 2020,98,72,63,0
13:37:02 Jul 02 2020,98,72,2,0
13:37:06 Jul 02 2020,98,72,0,0
13:37:10 Jul 02 2020,98,71,0,0
13:37:14 Jul 02 2020,98,70,0,0
13:37:18 Jul 02 2020,98,70,0,0
13:37:22 Jul 02 2020,98,72,2,0
13:37:26 Jul 02 2020,98,75,1,0
13:37:30 Jul 02 2020,98,75,4,0
13:37:34 Jul 02 2020,98,75,0,0
13:37:38 Jul 02 2020,98,75,138,0
13:37:42 Jul 02 2020,98,75,148,0
13:37:46 Jul 02 2020,98,75,123,0
13:37:50 Jul 02 2020,98,76,3,0
13:37:54 Jul 02 2020,98,78,9,0
13:37:58 Jul 02 2020,98,80,0,0
13:38:02 Jul 02 2020,98,82,3,0
13:38:06 Jul 02 2020,97,75,0,0
13:38:10 Jul 02 2020,98,75,1,0
13:38:14 Jul 02 2020,98,70,1,0
13:38:18 Jul 02 2020,98,70,0,0
13:38:22 Jul 02 2020,98,70,5,0
13:38:26 Jul 02 2020,98,71,0,0
13:38:30 Jul 02 2020,98,68,0,0
13:38:34 Jul 02 2020,98,70,0,0
13:38:38 Jul 02 2020,98,71,0,0
13:38:42 Jul 02 2020,98,69,0,0
13:38:46 Jul 02 2020,98,67,0,0
13:38:50 Jul 02 2020,98,68,0,0
13:38:54 Jul 02 2020,98,67,0,0
13:38:58 Jul 02 2020,98,68,0,0
13:39:02 Jul 02 2020,98,69,0,0
13:39:06 Jul 02 2020,98,68,0,0
13:39:10 Jul 02 2020,97,69,0,0
13:39:14 Jul 02 2020,97,70,0,0
13:39:18 Jul 02 2020,97,69,0,0
13:39:22 Jul 02 2020,97,69,0,0
13:39:26 Jul 02 2020,97,70,23,0
13:39:30 Jul 02 2020,97,70,0,0
13:39:34 Jul 02 2020,97,72,1,0
13:39:38 Jul 02 2020,98,75,0,0
13:39:42 Jul 02 2020,98,73,0,0
