Row,EMG-1,EMG-2,EMG-3,EMG-4,EMG-5,EMG-6
baseline,115.623757799663,794.741687171845,1336.62035977551,1334.1435829582,752.088825396718,1642.05983868882
hands-off,207.170316141024,802.229176016831,1656.25272411297,963.161202346354,846.174957161413,2003.65678102583
25%,306.685975400314,816.476899293539,1846.22007008503,746.717145453315,864.820048442118,2263.98811547268
50%,413.783446672081,804.608835518479,1972.82445325703,623.216712302333,859.650510800417,2435.3399839588
75%,535.631161587946,787.136458516286,2040.02218628705,570.193569758628,846.1399918823,2530.22677705486
hands-off_2,631.445759709246,777.036002538961,2049.60375583432,563.026198461151,843.73208943371,2540.95364531576
