Time,SpO2(%),Pulse Rate(bpm),Motion,Vibration
13:26:03 Jun 30 2020,96,96,0,0
13:26:07 Jun 30 2020,96,96,0,0
13:26:11 Jun 30 2020,97,97,0,0
13:26:15 Jun 30 2020,98,98,0,0
13:26:19 Jun 30 2020,98,97,0,0
13:26:23 Jun 30 2020,98,110,1,0
13:26:27 Jun 30 2020,98,102,0,0
13:26:31 Jun 30 2020,98,104,0,0
13:26:35 Jun 30 2020,98,97,2,0
13:26:39 Jun 30 2020,99,97,1,0
13:26:43 Jun 30 2020,99,93,0,0
13:26:47 Jun 30 2020,99,93,0,0
13:26:51 Jun 30 2020,99,92,1,0
13:26:55 Jun 30 2020,98,89,0,0
13:26:59 Jun 30 2020,98,97,12,0
13:27:03 Jun 30 2020,98,97,26,0
13:27:07 Jun 30 2020,98,97,11,0
13:27:11 Jun 30 2020,98,100,0,0
13:27:15 Jun 30 2020,98,103,0,0
13:27:19 Jun 30 2020,97,108,1,0
13:27:23 Jun 30 2020,97,105,1,0
13:27:27 Jun 30 2020,97,100,67,0
13:27:31 Jun 30 2020,97,96,8,0
13:27:35 Jun 30 2020,97,96,1,0
13:27:39 Jun 30 2020,97,97,57,0
13:27:43 Jun 30 2020,97,97,148,0
13:27:47 Jun 30 2020,97,97,1,0
13:27:51 Jun 30 2020,98,102,0,0
13:27:55 Jun 30 2020,98,105,0,0
13:27:59 Jun 30 2020,98,107,0,0
13:28:03 Jun 30 2020,98,109,1,0
13:28:07 Jun 30 2020,98,109,0,0
13:28:11 Jun 30 2020,98,106,0,0
13:28:15 Jun 30 2020,98,105,0,0
13:28:19 Jun 30 2020,98,102,1,0
13:28:23 Jun 30 2020,98,105,0,0
13:28:27 Jun 30 2020,98,105,0,0
13:28:31 Jun 30 2020,98,106,0,0
13:28:35 Jun 30 2020,98,110,0,0
13:28:39 Jun 30 2020,97,107,0,0
13:28:43 Jun 30 2020,97,110,0,0
13:28:47 Jun 30 2020,97,109,0,0
13:28:51 Jun 30 2020,97,108,0,0
13:28:55 Jun 30 2020,97,109,0,0
13:28:59 Jun 30 2020,97,109,0,0
13:29:03 Jun 30 2020,97,110,0,0
13:29:07 Jun 30 2020,97,112,0,0
13:29:11 Jun 30 2020,97,110,0,0
13:29:15 Jun 30 2020,97,110,0,0
13:29:19 Jun 30 2020,97,111,0,0
13:29:23 Jun 30 2020,97,109,0,0
13:29:27 Jun 30 2020,97,110,102,0
13:29:31 Jun 30 2020,97,107,0,0
13:29:35 Jun 30 2020,98,109,0,0
13:29:39 Jun 30 2020,98,112,0,0
13:29:43 Jun 30 2020,98,112,0,0
13:29:47 Jun 30 2020,98,112,0,0
13:29:51 Jun 30 2020,98,107,2,0
13:29:55 Jun 30 2020,98,101,0,0
13:29:59 Jun 30 2020,98,101,0,0
13:30:03 Jun 30 2020,98,102,1,0
13:30:07 Jun 30 2020,98,101,0,0
13:30:11 Jun 30 2020,98,101,0,0
13:30:15 Jun 30 2020,98,103,0,0
13:30:19 Jun 30 2020,97,101,16,0
13:30:23 Jun 30 2020,97,101,44,0
13:30:27 Jun 30 2020,97,101,3,0
13:30:31 Jun 30 2020,98,100,1,0
13:30:35 Jun 30 2020,97,101,3,0
13:30:39 Jun 30 2020,97,101,2,0
13:30:43 Jun 30 2020,97,101,1,0
13:30:47 Jun 30 2020,97,101,4,0
13:30:51 Jun 30 2020,97,96,0,0
13:30:55 Jun 30 2020,97,98,1,0
13:30:59 Jun 30 2020,97,100,2,0
13:31:03 Jun 30 2020,98,101,4,0
13:31:07 Jun 30 2020,98,101,7,0
13:31:11 Jun 30 2020,98,101,1,0
13:31:15 Jun 30 2020,98,101,7,0
13:31:19 Jun 30 2020,98,102,1,0
13:31:23 Jun 30 2020,98,102,1,0
13:31:27 Jun 30 2020,98,102,13,0
13:31:31 Jun 30 2020,98,103,1,0
13:31:35 Jun 30 2020,98,103,4,0
13:31:39 Jun 30 2020,98,103,2,0
13:31:43 Jun 30 2020,98,103,1,0
13:31:47 Jun 30 2020,98,102,5,0
13:31:51 Jun 30 2020,98,102,0,0
13:31:55 Jun 30 2020,98,100,13,0
13:31:59 Jun 30 2020,98,100,4,0
13:32:03 Jun 30 2020,98,100,1,0
13:32:07 Jun 30 2020,98,100,7,0
13:32:11 Jun 30 2020,98,100,0,0
13:32:15 Jun 30 2020,98,100,15,0
13:32:19 Jun 30 2020,98,100,1,0
13:32:23 Jun 30 2020,98,95,3,0
13:32:27 Jun 30 2020,98,95,2,0
13:32:31 Jun 30 2020,98,95,8,0
13:32:35 Jun 30 2020,98,94,11,0
13:32:39 Jun 30 2020,98,94,1,0
13:32:43 Jun 30 2020,98,93,1,0
13:32:47 Jun 30 2020,98,95,1,0
13:32:51 Jun 30 2020,98,96,0,0
13:32:55 Jun 30 2020,98,99,7,0
13:32:59 Jun 30 2020,98,99,0,0
13:33:03 Jun 30 2020,98,99,0,0
13:33:07 Jun 30 2020,98,100,3,0
13:33:11 Jun 30 2020,98,103,7,0
13:33:15 Jun 30 2020,98,103,9,0
13:33:19 Jun 30 2020,98,104,7,0
13:33:23 Jun 30 2020,98,109,0,0
13:33:27 Jun 30 2020,98,108,3,0
13:33:31 Jun 30 2020,98,106,23,0
13:33:35 Jun 30 2020,98,106,61,0
13:33:39 Jun 30 2020,98,106,18,0
13:33:43 Jun 30 2020,98,106,26,0
13:33:47 Jun 30 2020,255,65535,16,0
13:33:51 Jun 30 2020,255,65535,144,0
13:33:55 Jun 30 2020,255,65535,0,0
