Row,EMG-1,EMG-2,EMG-3,EMG-4,EMG-5,EMG-6
baseline,121.004536920901,832.216214646218,1752.23645943068,1664.95683570863,708.583271871386,2747.24637305157
hands-off,210.267431148703,970.820264072927,2140.43714781644,1118.47584832721,783.195764252805,3655.15890056522
25%,288.627486827172,1029.84071574656,2393.54366173754,810.265814562085,822.865187119623,4278.3198310237
50%,377.902260833493,1041.0396646601,2566.18835462659,611.278457895148,829.346181364085,4669.94478797499
75%,509.294855064723,1005.26184726808,2657.12425216762,579.165303828853,757.969803848819,4836.68621393986
hands-off_2,602.927120144129,1007.655059623,2671.19028648439,562.747522430474,759.719371233306,4869.12653734316
