Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
BioEng Lab,RUNNING,30-07-2020,14:20:35,00:09:02,,84,0.0,,00:00,,19,68,,,,,,,,,,170.0,70.0,198,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,89,0.0,00:00,,,,0.00,,,
,00:00:01,89,0.0,00:00,,,,0.00,,,
,00:00:02,89,0.0,00:00,,,,0.00,,,
,00:00:03,89,0.0,00:00,,,,0.00,,,
,00:00:04,89,0.0,00:00,,,,0.00,,,
,00:00:05,90,0.0,00:00,,,,0.00,,,
,00:00:06,90,0.0,00:00,,,,0.00,,,
,00:00:07,90,0.0,00:00,,,,0.00,,,
,00:00:08,90,0.0,00:00,,,,0.00,,,
,00:00:09,90,0.0,00:00,,,,0.00,,,
,00:00:10,90,0.0,00:00,,,,0.00,,,
,00:00:11,91,0.0,00:00,,,,0.00,,,
,00:00:12,92,0.0,00:00,,,,0.00,,,
,00:00:13,92,0.0,00:00,,,,0.00,,,
,00:00:14,90,0.0,00:00,,,,0.00,,,
,00:00:15,88,0.0,00:00,,,,0.00,,,
,00:00:16,85,0.0,00:00,,,,0.00,,,
,00:00:17,85,0.0,00:00,,,,0.00,,,
,00:00:18,86,0.0,00:00,,,,0.00,,,
,00:00:19,86,0.0,00:00,,,,0.00,,,
,00:00:20,88,0.0,00:00,,,,0.00,,,
,00:00:21,91,0.0,00:00,,,,0.00,,,
,00:00:22,92,0.0,00:00,,,,0.00,,,
,00:00:23,93,0.0,00:00,,,,0.00,,,
,00:00:24,92,0.0,00:00,,,,0.00,,,
,00:00:25,88,0.0,00:00,,,,0.00,,,
,00:00:26,88,0.0,00:00,,,,0.00,,,
,00:00:27,85,0.0,00:00,,,,0.00,,,
,00:00:28,85,0.0,00:00,,,,0.00,,,
,00:00:29,86,0.0,00:00,,,,0.00,,,
,00:00:30,86,0.0,00:00,,,,0.00,,,
,00:00:31,87,0.0,00:00,,,,0.00,,,
,00:00:32,88,0.0,00:00,,,,0.00,,,
,00:00:33,89,0.0,00:00,,,,0.00,,,
,00:00:34,90,0.0,00:00,,,,0.00,,,
,00:00:35,89,0.0,00:00,,,,0.00,,,
,00:00:36,89,0.0,00:00,,,,0.00,,,
,00:00:37,89,0.0,00:00,,,,0.00,,,
,00:00:38,89,0.0,00:00,,,,0.00,,,
,00:00:39,89,0.0,00:00,,,,0.00,,,
,00:00:40,87,0.0,00:00,,,,0.00,,,
,00:00:41,86,0.0,00:00,,,,0.00,,,
,00:00:42,84,0.0,00:00,,,,0.00,,,
,00:00:43,84,0.0,00:00,,,,0.00,,,
,00:00:44,85,0.0,00:00,,,,0.00,,,
,00:00:45,86,0.0,00:00,,,,0.00,,,
,00:00:46,86,0.0,00:00,,,,0.00,,,
,00:00:47,88,0.0,00:00,,,,0.00,,,
,00:00:48,88,0.0,00:00,,,,0.00,,,
,00:00:49,88,0.0,00:00,,,,0.00,,,
,00:00:50,87,0.0,00:00,,,,0.00,,,
,00:00:51,87,0.0,00:00,,,,0.00,,,
,00:00:52,85,0.0,00:00,,,,0.00,,,
,00:00:53,83,0.0,00:00,,,,0.00,,,
,00:00:54,82,0.0,00:00,,,,0.00,,,
,00:00:55,81,0.0,00:00,,,,0.00,,,
,00:00:56,82,0.0,00:00,,,,0.00,,,
,00:00:57,83,0.0,00:00,,,,0.00,,,
,00:00:58,84,0.0,00:00,,,,0.00,,,
,00:00:59,85,0.0,00:00,,,,0.00,,,
,00:01:00,85,0.0,00:00,,,,0.00,,,
,00:01:01,85,0.0,00:00,,,,0.00,,,
,00:01:02,84,0.0,00:00,,,,0.00,,,
,00:01:03,84,0.0,00:00,,,,0.00,,,
,00:01:04,85,0.0,00:00,,,,0.00,,,
,00:01:05,85,0.0,00:00,,,,0.00,,,
,00:01:06,85,0.0,00:00,,,,0.00,,,
,00:01:07,85,0.0,00:00,,,,0.00,,,
,00:01:08,85,0.0,00:00,,,,0.00,,,
,00:01:09,86,0.0,00:00,,,,0.00,,,
,00:01:10,86,0.0,00:00,,,,0.00,,,
,00:01:11,87,0.0,00:00,,,,0.00,,,
,00:01:12,87,0.0,00:00,,,,0.00,,,
,00:01:13,87,0.0,00:00,,,,0.00,,,
,00:01:14,86,0.0,00:00,,,,0.00,,,
,00:01:15,86,0.0,00:00,,,,0.00,,,
,00:01:16,86,0.0,00:00,,,,0.00,,,
,00:01:17,86,0.0,00:00,,,,0.00,,,
,00:01:18,87,0.0,00:00,,,,0.00,,,
,00:01:19,87,0.0,00:00,,,,0.00,,,
,00:01:20,88,0.0,00:00,,,,0.00,,,
,00:01:21,87,0.0,00:00,,,,0.00,,,
,00:01:22,87,0.0,00:00,,,,0.00,,,
,00:01:23,87,0.0,00:00,,,,0.00,,,
,00:01:24,87,0.0,00:00,,,,0.00,,,
,00:01:25,86,0.0,00:00,,,,0.00,,,
,00:01:26,86,0.0,00:00,,,,0.00,,,
,00:01:27,85,0.0,00:00,,,,0.00,,,
,00:01:28,85,0.0,00:00,,,,0.00,,,
,00:01:29,86,0.0,00:00,,,,0.00,,,
,00:01:30,86,0.0,00:00,,,,0.00,,,
,00:01:31,87,0.0,00:00,,,,0.00,,,
,00:01:32,87,0.0,00:00,,,,0.00,,,
,00:01:33,87,0.0,00:00,,,,0.00,,,
,00:01:34,88,0.0,00:00,,,,0.00,,,
,00:01:35,88,0.0,00:00,,,,0.00,,,
,00:01:36,88,0.0,00:00,,,,0.00,,,
,00:01:37,88,0.0,00:00,,,,0.00,,,
,00:01:38,88,0.0,00:00,,,,0.00,,,
,00:01:39,88,0.0,00:00,,,,0.00,,,
,00:01:40,88,0.0,00:00,,,,0.00,,,
,00:01:41,88,0.0,00:00,,,,0.00,,,
,00:01:42,88,0.0,00:00,,,,0.00,,,
,00:01:43,88,0.0,00:00,,,,0.00,,,
,00:01:44,89,0.0,00:00,,,,0.00,,,
,00:01:45,89,0.0,00:00,,,,0.00,,,
,00:01:46,89,0.0,00:00,,,,0.00,,,
,00:01:47,87,0.0,00:00,,,,0.00,,,
,00:01:48,87,0.0,00:00,,,,0.00,,,
,00:01:49,86,0.0,00:00,,,,0.00,,,
,00:01:50,86,0.0,00:00,,,,0.00,,,
,00:01:51,85,0.0,00:00,,,,0.00,,,
,00:01:52,85,0.0,00:00,,,,0.00,,,
,00:01:53,87,0.0,00:00,,,,0.00,,,
,00:01:54,87,0.0,00:00,,,,0.00,,,
,00:01:55,89,0.0,00:00,,,,0.00,,,
,00:01:56,90,0.0,00:00,,,,0.00,,,
,00:01:57,91,0.0,00:00,,,,0.00,,,
,00:01:58,90,0.0,00:00,,,,0.00,,,
,00:01:59,89,0.0,00:00,,,,0.00,,,
,00:02:00,87,0.0,00:00,,,,0.00,,,
,00:02:01,86,0.0,00:00,,,,0.00,,,
,00:02:02,86,0.0,00:00,,,,0.00,,,
,00:02:03,86,0.0,00:00,,,,0.00,,,
,00:02:04,86,0.0,00:00,,,,0.00,,,
,00:02:05,86,0.0,00:00,,,,0.00,,,
,00:02:06,88,0.0,00:00,,,,0.00,,,
,00:02:07,88,0.0,00:00,,,,0.00,,,
,00:02:08,88,0.0,00:00,,,,0.00,,,
,00:02:09,88,0.0,00:00,,,,0.00,,,
,00:02:10,86,0.0,00:00,,,,0.00,,,
,00:02:11,85,0.0,00:00,,,,0.00,,,
,00:02:12,84,0.0,00:00,,,,0.00,,,
,00:02:13,84,0.0,00:00,,,,0.00,,,
,00:02:14,84,0.0,00:00,,,,0.00,,,
,00:02:15,84,0.0,00:00,,,,0.00,,,
,00:02:16,83,0.0,00:00,,,,0.00,,,
,00:02:17,83,0.0,00:00,,,,0.00,,,
,00:02:18,84,0.0,00:00,,,,0.00,,,
,00:02:19,84,0.0,00:00,,,,0.00,,,
,00:02:20,84,0.0,00:00,,,,0.00,,,
,00:02:21,84,0.0,00:00,,,,0.00,,,
,00:02:22,84,0.0,00:00,,,,0.00,,,
,00:02:23,84,0.0,00:00,,,,0.00,,,
,00:02:24,84,0.0,00:00,,,,0.00,,,
,00:02:25,84,0.0,00:00,,,,0.00,,,
,00:02:26,82,0.0,00:00,,,,0.00,,,
,00:02:27,81,0.0,00:00,,,,0.00,,,
,00:02:28,80,0.0,00:00,,,,0.00,,,
,00:02:29,80,0.0,00:00,,,,0.00,,,
,00:02:30,80,0.0,00:00,,,,0.00,,,
,00:02:31,80,0.0,00:00,,,,0.00,,,
,00:02:32,81,0.0,00:00,,,,0.00,,,
,00:02:33,81,0.0,00:00,,,,0.00,,,
,00:02:34,82,0.0,00:00,,,,0.00,,,
,00:02:35,83,0.0,00:00,,,,0.00,,,
,00:02:36,83,0.0,00:00,,,,0.00,,,
,00:02:37,83,0.0,00:00,,,,0.00,,,
,00:02:38,83,0.0,00:00,,,,0.00,,,
,00:02:39,83,0.0,00:00,,,,0.00,,,
,00:02:40,83,0.0,00:00,,,,0.00,,,
,00:02:41,83,0.0,00:00,,,,0.00,,,
,00:02:42,84,0.0,00:00,,,,0.00,,,
,00:02:43,84,0.0,00:00,,,,0.00,,,
,00:02:44,84,0.0,00:00,,,,0.00,,,
,00:02:45,85,0.0,00:00,,,,0.00,,,
,00:02:46,85,0.0,00:00,,,,0.00,,,
,00:02:47,86,0.0,00:00,,,,0.00,,,
,00:02:48,87,0.0,00:00,,,,0.00,,,
,00:02:49,88,0.0,00:00,,,,0.00,,,
,00:02:50,88,0.0,00:00,,,,0.00,,,
,00:02:51,88,0.0,00:00,,,,0.00,,,
,00:02:52,88,0.0,00:00,,,,0.00,,,
,00:02:53,88,0.0,00:00,,,,0.00,,,
,00:02:54,85,0.0,00:00,,,,0.00,,,
,00:02:55,84,0.0,00:00,,,,0.00,,,
,00:02:56,82,0.0,00:00,,,,0.00,,,
,00:02:57,81,0.0,00:00,,,,0.00,,,
,00:02:58,79,0.0,00:00,,,,0.00,,,
,00:02:59,78,0.0,00:00,,,,0.00,,,
,00:03:00,78,0.0,00:00,,,,0.00,,,
,00:03:01,79,0.0,00:00,,,,0.00,,,
,00:03:02,80,0.0,00:00,,,,0.00,,,
,00:03:03,81,0.0,00:00,,,,0.00,,,
,00:03:04,82,0.0,00:00,,,,0.00,,,
,00:03:05,80,0.0,00:00,,,,0.00,,,
,00:03:06,80,0.0,00:00,,,,0.00,,,
,00:03:07,78,0.0,00:00,,,,0.00,,,
,00:03:08,77,0.0,00:00,,,,0.00,,,
,00:03:09,77,0.0,00:00,,,,0.00,,,
,00:03:10,78,0.0,00:00,,,,0.00,,,
,00:03:11,79,0.0,00:00,,,,0.00,,,
,00:03:12,79,0.0,00:00,,,,0.00,,,
,00:03:13,80,0.0,00:00,,,,0.00,,,
,00:03:14,80,0.0,00:00,,,,0.00,,,
,00:03:15,79,0.0,00:00,,,,0.00,,,
,00:03:16,77,0.0,00:00,,,,0.00,,,
,00:03:17,76,0.0,00:00,,,,0.00,,,
,00:03:18,76,0.0,00:00,,,,0.00,,,
,00:03:19,75,0.0,00:00,,,,0.00,,,
,00:03:20,75,0.0,00:00,,,,0.00,,,
,00:03:21,76,0.0,00:00,,,,0.00,,,
,00:03:22,77,0.0,00:00,,,,0.00,,,
,00:03:23,79,0.0,00:00,,,,0.00,,,
,00:03:24,79,0.0,00:00,,,,0.00,,,
,00:03:25,79,0.0,00:00,,,,0.00,,,
,00:03:26,77,0.0,00:00,,,,0.00,,,
,00:03:27,76,0.0,00:00,,,,0.00,,,
,00:03:28,75,0.0,00:00,,,,0.00,,,
,00:03:29,74,0.0,00:00,,,,0.00,,,
,00:03:30,73,0.0,00:00,,,,0.00,,,
,00:03:31,73,0.0,00:00,,,,0.00,,,
,00:03:32,74,0.0,00:00,,,,0.00,,,
,00:03:33,76,0.0,00:00,,,,0.00,,,
,00:03:34,77,0.0,00:00,,,,0.00,,,
,00:03:35,78,0.0,00:00,,,,0.00,,,
,00:03:36,78,0.0,00:00,,,,0.00,,,
,00:03:37,77,0.0,00:00,,,,0.00,,,
,00:03:38,76,0.0,00:00,,,,0.00,,,
,00:03:39,74,0.0,00:00,,,,0.00,,,
,00:03:40,73,0.0,00:00,,,,0.00,,,
,00:03:41,72,0.0,00:00,,,,0.00,,,
,00:03:42,72,0.0,00:00,,,,0.00,,,
,00:03:43,73,0.0,00:00,,,,0.00,,,
,00:03:44,74,0.0,00:00,,,,0.00,,,
,00:03:45,74,0.0,00:00,,,,0.00,,,
,00:03:46,74,0.0,00:00,,,,0.00,,,
,00:03:47,74,0.0,00:00,,,,0.00,,,
,00:03:48,74,0.0,00:00,,,,0.00,,,
