Time,SpO2(%),Pulse Rate(bpm),Motion,Vibration
13:59:18 Jul 30 2020,97,88,0,0
13:59:22 Jul 30 2020,97,84,1,0
13:59:26 Jul 30 2020,97,84,1,0
13:59:30 Jul 30 2020,97,86,1,0
13:59:34 Jul 30 2020,97,86,20,0
13:59:38 Jul 30 2020,98,90,1,0
13:59:42 Jul 30 2020,98,92,3,0
13:59:46 Jul 30 2020,98,92,3,0
13:59:50 Jul 30 2020,98,92,3,0
13:59:54 Jul 30 2020,98,92,3,0
13:59:58 Jul 30 2020,98,92,6,0
14:00:02 Jul 30 2020,98,92,25,0
14:00:06 Jul 30 2020,98,92,23,0
14:00:10 Jul 30 2020,97,92,6,0
14:00:14 Jul 30 2020,97,93,91,0
14:00:18 Jul 30 2020,97,90,1,0
14:00:22 Jul 30 2020,97,90,5,0
14:00:26 Jul 30 2020,97,85,0,0
14:00:30 Jul 30 2020,97,81,0,0
14:00:34 Jul 30 2020,97,83,1,0
14:00:38 Jul 30 2020,97,85,1,0
14:00:42 Jul 30 2020,97,84,1,0
14:00:46 Jul 30 2020,97,84,15,0
14:00:50 Jul 30 2020,97,82,2,0
14:00:54 Jul 30 2020,97,79,31,0
14:00:58 Jul 30 2020,97,79,3,0
14:01:02 Jul 30 2020,97,79,34,0
14:01:06 Jul 30 2020,97,79,46,0
14:01:10 Jul 30 2020,97,79,18,0
14:01:14 Jul 30 2020,97,79,69,0
14:01:18 Jul 30 2020,97,79,24,0
14:01:22 Jul 30 2020,97,85,8,0
14:01:26 Jul 30 2020,97,94,0,0
14:01:30 Jul 30 2020,97,100,1,0
14:01:34 Jul 30 2020,97,100,11,0
14:01:38 Jul 30 2020,97,100,22,0
14:01:42 Jul 30 2020,97,100,20,0
14:01:46 Jul 30 2020,97,100,54,0
14:01:50 Jul 30 2020,97,100,29,0
14:01:54 Jul 30 2020,97,100,1,0
14:01:58 Jul 30 2020,97,96,99,0
14:02:02 Jul 30 2020,97,93,9,0
14:02:06 Jul 30 2020,97,92,1,0
14:02:10 Jul 30 2020,97,91,3,0
14:02:14 Jul 30 2020,97,91,20,0
14:02:18 Jul 30 2020,97,90,2,0
14:02:22 Jul 30 2020,97,90,2,0
14:02:26 Jul 30 2020,97,89,2,0
14:02:30 Jul 30 2020,97,87,2,0
14:02:34 Jul 30 2020,97,81,2,0
14:02:38 Jul 30 2020,97,75,6,0
14:02:42 Jul 30 2020,97,75,13,0
14:02:46 Jul 30 2020,97,77,0,0
14:02:50 Jul 30 2020,97,77,5,0
14:02:54 Jul 30 2020,97,78,0,0
14:02:58 Jul 30 2020,97,84,0,0
14:03:02 Jul 30 2020,97,85,0,0
14:03:06 Jul 30 2020,97,88,0,0
14:03:10 Jul 30 2020,97,87,0,0
14:03:14 Jul 30 2020,97,85,0,0
14:03:18 Jul 30 2020,97,87,1,0
14:03:22 Jul 30 2020,97,87,40,0
14:03:26 Jul 30 2020,97,87,25,0
14:03:30 Jul 30 2020,97,87,24,0
14:03:34 Jul 30 2020,97,87,17,0
14:03:38 Jul 30 2020,97,88,0,0
14:03:42 Jul 30 2020,97,91,0,0
14:03:46 Jul 30 2020,97,93,19,0
14:03:50 Jul 30 2020,97,93,14,0
14:03:54 Jul 30 2020,97,93,26,0
14:03:58 Jul 30 2020,97,93,1,0
14:04:02 Jul 30 2020,97,91,6,0
14:04:06 Jul 30 2020,97,91,114,0
14:04:10 Jul 30 2020,97,91,18,0
14:04:14 Jul 30 2020,97,86,9,0
14:04:18 Jul 30 2020,97,86,42,0
14:04:22 Jul 30 2020,97,86,17,0
14:04:26 Jul 30 2020,97,79,1,0
14:04:30 Jul 30 2020,97,79,2,0
14:04:34 Jul 30 2020,97,78,15,0
14:04:38 Jul 30 2020,97,78,49,0
14:04:42 Jul 30 2020,97,84,6,0
14:04:46 Jul 30 2020,97,84,31,0
14:04:50 Jul 30 2020,97,84,4,0
14:04:54 Jul 30 2020,97,84,17,0
14:04:58 Jul 30 2020,97,84,44,0
14:05:02 Jul 30 2020,97,84,0,0
14:05:06 Jul 30 2020,97,84,0,0
14:05:10 Jul 30 2020,98,80,0,0
14:05:14 Jul 30 2020,98,78,2,0
14:05:18 Jul 30 2020,98,78,37,0
14:05:22 Jul 30 2020,98,77,2,0
14:05:26 Jul 30 2020,97,80,0,0
14:05:30 Jul 30 2020,97,82,1,0
14:05:34 Jul 30 2020,97,82,1,0
14:05:38 Jul 30 2020,97,84,1,0
14:05:42 Jul 30 2020,97,81,0,0
14:05:46 Jul 30 2020,97,79,106,0
14:05:50 Jul 30 2020,97,79,145,0
14:05:54 Jul 30 2020,97,79,101,0
14:05:58 Jul 30 2020,97,79,0,0
14:06:02 Jul 30 2020,97,82,0,0
14:06:06 Jul 30 2020,97,84,0,0
14:06:10 Jul 30 2020,98,82,0,0
14:06:14 Jul 30 2020,98,83,0,0
14:06:18 Jul 30 2020,97,85,17,0
14:06:22 Jul 30 2020,97,90,4,0
14:06:26 Jul 30 2020,97,89,9,0
14:06:30 Jul 30 2020,97,89,0,0
14:06:34 Jul 30 2020,96,87,0,0
14:06:38 Jul 30 2020,96,81,1,0
14:06:42 Jul 30 2020,97,84,0,0
14:06:46 Jul 30 2020,97,84,0,0
14:06:50 Jul 30 2020,98,82,0,0
14:06:54 Jul 30 2020,98,81,0,0
14:06:58 Jul 30 2020,98,82,0,0
14:07:02 Jul 30 2020,98,87,0,0
14:07:06 Jul 30 2020,97,86,0,0
14:07:10 Jul 30 2020,97,82,0,0
14:07:14 Jul 30 2020,97,84,0,0
14:07:18 Jul 30 2020,97,81,0,0
14:07:22 Jul 30 2020,97,81,0,0
14:07:26 Jul 30 2020,97,83,0,0
14:07:30 Jul 30 2020,97,86,0,0
14:07:34 Jul 30 2020,97,86,8,0
14:07:38 Jul 30 2020,97,86,0,0
14:07:42 Jul 30 2020,97,83,0,0
14:07:46 Jul 30 2020,97,84,0,0
14:07:50 Jul 30 2020,96,85,0,0
14:07:54 Jul 30 2020,96,82,0,0
14:07:58 Jul 30 2020,96,80,0,0
14:08:02 Jul 30 2020,97,83,0,0
14:08:06 Jul 30 2020,97,81,0,0
14:08:10 Jul 30 2020,97,84,0,0
14:08:14 Jul 30 2020,97,90,0,0
14:08:18 Jul 30 2020,97,90,1,0
14:08:22 Jul 30 2020,97,88,3,0
14:08:26 Jul 30 2020,97,87,85,0
14:08:30 Jul 30 2020,97,87,2,0
14:08:34 Jul 30 2020,97,87,2,0
14:08:38 Jul 30 2020,97,87,3,0
14:08:42 Jul 30 2020,97,87,4,0
14:08:46 Jul 30 2020,97,87,2,0
14:08:50 Jul 30 2020,97,78,3,0
14:08:54 Jul 30 2020,97,79,2,0
14:08:58 Jul 30 2020,98,76,4,0
14:09:02 Jul 30 2020,97,77,6,0
14:09:06 Jul 30 2020,97,78,2,0
14:09:10 Jul 30 2020,97,75,5,0
14:09:14 Jul 30 2020,97,78,4,0
14:09:18 Jul 30 2020,97,74,3,0
14:09:22 Jul 30 2020,97,74,8,0
14:09:26 Jul 30 2020,97,78,2,0
14:09:30 Jul 30 2020,97,75,9,0
14:09:34 Jul 30 2020,97,76,1,0
14:09:38 Jul 30 2020,98,75,4,0
14:09:42 Jul 30 2020,98,74,5,0
14:09:46 Jul 30 2020,98,74,2,0
14:09:50 Jul 30 2020,97,74,12,0
14:09:54 Jul 30 2020,97,78,3,0
14:09:58 Jul 30 2020,97,76,2,0
14:10:02 Jul 30 2020,97,76,4,0
14:10:06 Jul 30 2020,98,78,2,0
14:10:10 Jul 30 2020,98,74,7,0
14:10:14 Jul 30 2020,98,74,3,0
14:10:18 Jul 30 2020,98,74,3,0
14:10:22 Jul 30 2020,98,74,5,0
14:10:26 Jul 30 2020,97,72,2,0
14:10:30 Jul 30 2020,97,70,3,0
14:10:34 Jul 30 2020,97,73,16,0
14:10:38 Jul 30 2020,97,73,2,0
14:10:42 Jul 30 2020,97,73,1,0
14:10:46 Jul 30 2020,97,73,0,0
14:10:50 Jul 30 2020,97,73,0,0
14:10:54 Jul 30 2020,97,73,4,0
14:10:58 Jul 30 2020,97,73,0,0
14:11:02 Jul 30 2020,97,78,0,0
14:11:06 Jul 30 2020,97,78,6,0
14:11:10 Jul 30 2020,97,79,17,0
14:11:14 Jul 30 2020,97,79,41,0
14:11:18 Jul 30 2020,97,79,5,0
14:11:22 Jul 30 2020,97,79,71,0
14:11:26 Jul 30 2020,97,79,110,0
14:11:30 Jul 30 2020,97,82,24,0
14:11:34 Jul 30 2020,97,82,25,0
14:11:38 Jul 30 2020,97,82,14,0
14:11:42 Jul 30 2020,97,84,37,0
14:11:46 Jul 30 2020,97,82,1,0
14:11:50 Jul 30 2020,97,78,0,0
14:11:54 Jul 30 2020,97,73,0,0
14:11:58 Jul 30 2020,97,75,23,0
14:12:02 Jul 30 2020,97,75,12,0
14:12:06 Jul 30 2020,97,75,0,0
14:12:10 Jul 30 2020,97,71,0,0
14:12:14 Jul 30 2020,97,72,0,0
14:12:18 Jul 30 2020,97,72,32,0
14:12:22 Jul 30 2020,97,72,6,0
14:12:26 Jul 30 2020,97,72,33,0
14:12:30 Jul 30 2020,97,71,7,0
14:12:34 Jul 30 2020,97,71,4,0
14:12:38 Jul 30 2020,97,71,77,0
14:12:42 Jul 30 2020,97,73,8,0
14:12:46 Jul 30 2020,97,73,50,0
14:12:50 Jul 30 2020,97,74,1,0
14:12:54 Jul 30 2020,97,75,1,0
14:12:58 Jul 30 2020,97,75,2,0
14:13:02 Jul 30 2020,97,70,0,0
14:13:06 Jul 30 2020,97,70,23,0
14:13:10 Jul 30 2020,97,73,5,0
14:13:14 Jul 30 2020,97,71,0,0
14:13:18 Jul 30 2020,97,65,0,0
14:13:22 Jul 30 2020,97,64,0,0
14:13:26 Jul 30 2020,97,65,0,0
14:13:30 Jul 30 2020,97,65,0,0
14:13:34 Jul 30 2020,97,65,0,0
14:13:38 Jul 30 2020,97,66,0,0
14:13:42 Jul 30 2020,97,69,2,0
14:13:46 Jul 30 2020,97,68,0,0
14:13:50 Jul 30 2020,97,65,0,0
14:13:54 Jul 30 2020,97,66,0,0
14:13:58 Jul 30 2020,97,67,0,0
14:14:02 Jul 30 2020,97,66,0,0
14:14:06 Jul 30 2020,97,65,0,0
14:14:10 Jul 30 2020,97,66,0,0
14:14:14 Jul 30 2020,97,67,2,0
14:14:18 Jul 30 2020,97,69,3,0
14:14:22 Jul 30 2020,97,69,15,0
14:14:26 Jul 30 2020,97,72,0,0
14:14:30 Jul 30 2020,97,74,0,0
14:14:34 Jul 30 2020,96,73,4,0
14:14:38 Jul 30 2020,96,75,5,0
14:14:42 Jul 30 2020,96,69,0,0
14:14:46 Jul 30 2020,96,67,0,0
14:14:50 Jul 30 2020,96,66,0,0
14:14:54 Jul 30 2020,96,64,0,0
14:14:58 Jul 30 2020,96,67,0,0
14:15:02 Jul 30 2020,95,66,0,0
14:15:06 Jul 30 2020,95,67,0,0
14:15:10 Jul 30 2020,95,69,0,0
14:15:14 Jul 30 2020,96,68,0,0
14:15:18 Jul 30 2020,96,66,0,0
14:15:22 Jul 30 2020,96,68,0,0
14:15:26 Jul 30 2020,96,70,0,0
14:15:30 Jul 30 2020,96,70,9,0
14:15:34 Jul 30 2020,96,70,5,0
14:15:38 Jul 30 2020,96,70,17,0
14:15:42 Jul 30 2020,96,70,1,0
14:15:46 Jul 30 2020,96,75,0,0
14:15:50 Jul 30 2020,96,77,0,0
14:15:54 Jul 30 2020,96,77,1,0
14:15:58 Jul 30 2020,96,80,0,0
14:16:02 Jul 30 2020,96,78,0,0
14:16:06 Jul 30 2020,97,72,0,0
14:16:10 Jul 30 2020,96,69,0,0
14:16:14 Jul 30 2020,96,72,0,0
14:16:18 Jul 30 2020,96,71,0,0
14:16:22 Jul 30 2020,96,67,0,0
14:16:26 Jul 30 2020,96,68,0,0
14:16:30 Jul 30 2020,96,70,0,0
14:16:34 Jul 30 2020,96,70,0,0
14:16:38 Jul 30 2020,96,69,0,0
14:16:42 Jul 30 2020,96,68,17,0
14:16:46 Jul 30 2020,96,68,33,0
14:16:50 Jul 30 2020,96,68,11,0
14:16:54 Jul 30 2020,96,68,69,0
14:16:58 Jul 30 2020,96,68,11,0
14:17:02 Jul 30 2020,96,68,8,0
14:17:06 Jul 30 2020,96,68,121,0
14:17:10 Jul 30 2020,96,68,90,0
14:17:14 Jul 30 2020,96,68,9,0
14:17:18 Jul 30 2020,96,68,1,0
14:17:22 Jul 30 2020,97,69,0,0
14:17:26 Jul 30 2020,97,71,0,0
14:17:30 Jul 30 2020,97,71,18,0
14:17:34 Jul 30 2020,97,71,5,0
14:17:38 Jul 30 2020,97,71,8,0
14:17:42 Jul 30 2020,97,71,3,0
14:17:46 Jul 30 2020,97,71,4,0
14:17:50 Jul 30 2020,97,71,53,0
14:17:54 Jul 30 2020,97,71,40,0
14:17:58 Jul 30 2020,97,71,82,0
14:18:02 Jul 30 2020,97,71,7,0
14:18:06 Jul 30 2020,97,74,4,0
14:18:10 Jul 30 2020,97,74,17,0
14:18:14 Jul 30 2020,97,77,1,0
14:18:18 Jul 30 2020,98,80,20,0
14:18:22 Jul 30 2020,98,80,42,0
14:18:26 Jul 30 2020,97,81,7,0
14:18:30 Jul 30 2020,97,81,92,0
14:18:34 Jul 30 2020,97,87,21,0
14:18:38 Jul 30 2020,97,94,2,0
14:18:42 Jul 30 2020,97,97,3,0
14:18:46 Jul 30 2020,97,99,16,0
14:18:50 Jul 30 2020,97,99,51,0
14:18:54 Jul 30 2020,97,99,0,0
14:18:58 Jul 30 2020,97,97,58,0
14:19:02 Jul 30 2020,97,94,30,0
14:19:06 Jul 30 2020,97,91,0,0
14:19:10 Jul 30 2020,97,89,0,0
14:19:14 Jul 30 2020,97,87,0,0
14:19:18 Jul 30 2020,97,87,0,0
14:19:22 Jul 30 2020,98,86,0,0
14:19:26 Jul 30 2020,98,84,0,0
14:19:30 Jul 30 2020,97,87,0,0
14:19:34 Jul 30 2020,97,88,1,0
14:19:38 Jul 30 2020,97,86,0,0
14:19:42 Jul 30 2020,97,87,0,0
14:19:46 Jul 30 2020,98,87,1,0
14:19:50 Jul 30 2020,98,85,0,0
14:19:54 Jul 30 2020,98,86,0,0
14:19:58 Jul 30 2020,98,86,0,0
14:20:02 Jul 30 2020,98,88,0,0
14:20:06 Jul 30 2020,98,90,0,0
14:20:10 Jul 30 2020,98,91,0,0
14:20:14 Jul 30 2020,98,92,6,0
14:20:18 Jul 30 2020,98,92,32,0
14:20:22 Jul 30 2020,98,92,8,0
14:20:26 Jul 30 2020,98,88,0,0
14:20:30 Jul 30 2020,98,89,0,0
14:20:34 Jul 30 2020,98,89,2,0
14:20:38 Jul 30 2020,98,89,31,0
14:20:42 Jul 30 2020,98,89,1,0
14:20:46 Jul 30 2020,98,89,5,0
14:20:50 Jul 30 2020,98,89,1,0
14:20:54 Jul 30 2020,98,88,0,0
14:20:58 Jul 30 2020,98,89,4,0
14:21:02 Jul 30 2020,98,89,112,0
14:21:06 Jul 30 2020,98,89,28,0
14:21:10 Jul 30 2020,98,87,127,0
14:21:14 Jul 30 2020,98,87,132,0
14:21:18 Jul 30 2020,98,87,59,0
14:21:22 Jul 30 2020,98,82,0,0
14:21:26 Jul 30 2020,97,79,0,0
14:21:30 Jul 30 2020,97,82,0,0
14:21:34 Jul 30 2020,97,86,0,0
14:21:38 Jul 30 2020,97,86,3,0
14:21:42 Jul 30 2020,97,86,1,0
14:21:46 Jul 30 2020,97,87,1,0
14:21:50 Jul 30 2020,97,84,0,0
14:21:54 Jul 30 2020,97,83,0,0
14:21:58 Jul 30 2020,97,82,0,0
14:22:02 Jul 30 2020,97,85,0,0
14:22:06 Jul 30 2020,97,85,1,0
14:22:10 Jul 30 2020,97,89,0,0
14:22:14 Jul 30 2020,97,90,3,0
14:22:18 Jul 30 2020,97,89,0,0
14:22:22 Jul 30 2020,97,89,2,0
14:22:26 Jul 30 2020,97,91,4,0
14:22:30 Jul 30 2020,97,89,0,0
14:22:34 Jul 30 2020,98,88,0,0
14:22:38 Jul 30 2020,97,89,0,0
14:22:42 Jul 30 2020,97,86,7,0
14:22:46 Jul 30 2020,97,86,15,0
14:22:50 Jul 30 2020,97,83,1,0
14:22:54 Jul 30 2020,97,80,0,0
14:22:58 Jul 30 2020,97,79,0,0
14:23:02 Jul 30 2020,97,79,0,0
14:23:06 Jul 30 2020,97,82,0,0
14:23:10 Jul 30 2020,97,83,16,0
14:23:14 Jul 30 2020,97,83,17,0
14:23:18 Jul 30 2020,97,83,2,0
14:23:22 Jul 30 2020,97,83,2,0
14:23:26 Jul 30 2020,97,83,2,0
14:23:30 Jul 30 2020,96,82,3,0
14:23:34 Jul 30 2020,97,80,2,0
14:23:38 Jul 30 2020,97,81,9,0
14:23:42 Jul 30 2020,97,82,2,0
14:23:46 Jul 30 2020,97,78,3,0
14:23:50 Jul 30 2020,96,81,4,0
14:23:54 Jul 30 2020,96,76,3,0
14:23:58 Jul 30 2020,96,74,8,0
14:24:02 Jul 30 2020,96,74,17,0
14:24:06 Jul 30 2020,96,69,1,0
14:24:10 Jul 30 2020,97,69,4,0
14:24:14 Jul 30 2020,97,75,2,0
14:24:18 Jul 30 2020,97,75,9,0
14:24:22 Jul 30 2020,97,79,1,0
14:24:26 Jul 30 2020,96,79,2,0
14:24:30 Jul 30 2020,96,79,1,0
14:24:34 Jul 30 2020,96,80,1,0
14:24:38 Jul 30 2020,97,79,11,0
14:24:42 Jul 30 2020,96,80,2,0
14:24:46 Jul 30 2020,96,73,6,0
14:24:50 Jul 30 2020,96,73,9,0
14:24:54 Jul 30 2020,97,76,1,0
14:24:58 Jul 30 2020,97,75,5,0
14:25:02 Jul 30 2020,97,75,1,0
14:25:06 Jul 30 2020,97,72,3,0
14:25:10 Jul 30 2020,97,72,12,0
14:25:14 Jul 30 2020,97,73,3,0
14:25:18 Jul 30 2020,97,69,2,0
14:25:22 Jul 30 2020,97,65,56,0
14:25:26 Jul 30 2020,97,68,0,0
14:25:30 Jul 30 2020,97,69,5,0
14:25:34 Jul 30 2020,97,71,0,0
14:25:38 Jul 30 2020,98,80,0,0
14:25:42 Jul 30 2020,98,80,0,0
14:25:46 Jul 30 2020,98,78,0,0
14:25:50 Jul 30 2020,97,80,0,0
14:25:54 Jul 30 2020,97,81,0,0
14:25:58 Jul 30 2020,97,82,1,0
14:26:02 Jul 30 2020,97,82,18,0
14:26:06 Jul 30 2020,97,82,1,0
14:26:10 Jul 30 2020,97,82,95,0
14:26:14 Jul 30 2020,97,82,88,0
14:26:18 Jul 30 2020,97,83,22,0
14:26:22 Jul 30 2020,97,84,28,0
14:26:26 Jul 30 2020,97,84,39,0
14:26:30 Jul 30 2020,97,84,23,0
14:26:34 Jul 30 2020,97,84,16,0
14:26:38 Jul 30 2020,97,80,0,0
14:26:42 Jul 30 2020,97,74,0,0
14:26:46 Jul 30 2020,97,78,0,0
14:26:50 Jul 30 2020,97,79,14,0
14:26:54 Jul 30 2020,97,79,78,0
14:26:58 Jul 30 2020,97,83,27,0
14:27:02 Jul 30 2020,255,65535,84,0
14:27:06 Jul 30 2020,255,65535,0,0
14:27:10 Jul 30 2020,255,65535,0,0
