Row,EMG-1,EMG-2,EMG-3,EMG-4,EMG-5,EMG-6
baseline,156.459614812309,679.448424457145,1327.62544555644,1535.00010628508,638.232072385691,1347.54122354789
hands-off,274.341181668135,813.33530907864,1638.8341608583,1023.50803367875,748.232288530556,1653.98806773624
25%,371.03513727992,863.677115360912,1803.84784284565,796.841551743769,808.704702560943,2160.56635490842
50%,473.826826327615,885.00374518174,1969.49941105662,617.2586251456,814.793780450793,2648.70188100433
75%,587.123755578246,869.480182582819,2031.86823095924,590.722475633049,775.989394506641,3073.48262331036
hands-off_2,674.400227830515,864.224439426029,2044.84470955657,582.705892234663,769.076783158368,3106.52924820607
