Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
BioEng Lab,RUNNING,01-07-2020,09:40:09,00:05:53,,81,0.0,,00:00,,13,69,,,,,,,,,,170.0,70.0,198,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,80,0.0,00:00,,,,0.00,,,
,00:00:01,80,0.0,00:00,,,,0.00,,,
,00:00:02,81,0.0,00:00,,,,0.00,,,
,00:00:03,82,0.0,00:00,,,,0.00,,,
,00:00:04,82,0.0,00:00,,,,0.00,,,
,00:00:05,84,0.0,00:00,,,,0.00,,,
,00:00:06,85,0.0,00:00,,,,0.00,,,
,00:00:07,86,0.0,00:00,,,,0.00,,,
,00:00:08,86,0.0,00:00,,,,0.00,,,
,00:00:09,86,0.0,00:00,,,,0.00,,,
,00:00:10,83,0.0,00:00,,,,0.00,,,
,00:00:11,83,0.0,00:00,,,,0.00,,,
,00:00:12,82,0.0,00:00,,,,0.00,,,
,00:00:13,82,0.0,00:00,,,,0.00,,,
,00:00:14,83,0.0,00:00,,,,0.00,,,
,00:00:15,84,0.0,00:00,,,,0.00,,,
,00:00:16,83,0.0,00:00,,,,0.00,,,
,00:00:17,83,0.0,00:00,,,,0.00,,,
,00:00:18,83,0.0,00:00,,,,0.00,,,
,00:00:19,82,0.0,00:00,,,,0.00,,,
,00:00:20,81,0.0,00:00,,,,0.00,,,
,00:00:21,80,0.0,00:00,,,,0.00,,,
,00:00:22,80,0.0,00:00,,,,0.00,,,
,00:00:23,79,0.0,00:00,,,,0.00,,,
,00:00:24,79,0.0,00:00,,,,0.00,,,
,00:00:25,79,0.0,00:00,,,,0.00,,,
,00:00:26,80,0.0,00:00,,,,0.00,,,
,00:00:27,80,0.0,00:00,,,,0.00,,,
,00:00:28,81,0.0,00:00,,,,0.00,,,
,00:00:29,81,0.0,00:00,,,,0.00,,,
,00:00:30,80,0.0,00:00,,,,0.00,,,
,00:00:31,80,0.0,00:00,,,,0.00,,,
,00:00:32,80,0.0,00:00,,,,0.00,,,
,00:00:33,79,0.0,00:00,,,,0.00,,,
,00:00:34,79,0.0,00:00,,,,0.00,,,
,00:00:35,80,0.0,00:00,,,,0.00,,,
,00:00:36,80,0.0,00:00,,,,0.00,,,
,00:00:37,80,0.0,00:00,,,,0.00,,,
,00:00:38,80,0.0,00:00,,,,0.00,,,
,00:00:39,80,0.0,00:00,,,,0.00,,,
,00:00:40,80,0.0,00:00,,,,0.00,,,
,00:00:41,80,0.0,00:00,,,,0.00,,,
,00:00:42,80,0.0,00:00,,,,0.00,,,
,00:00:43,79,0.0,00:00,,,,0.00,,,
,00:00:44,78,0.0,00:00,,,,0.00,,,
,00:00:45,78,0.0,00:00,,,,0.00,,,
,00:00:46,79,0.0,00:00,,,,0.00,,,
,00:00:47,78,0.0,00:00,,,,0.00,,,
,00:00:48,78,0.0,00:00,,,,0.00,,,
,00:00:49,78,0.0,00:00,,,,0.00,,,
,00:00:50,79,0.0,00:00,,,,0.00,,,
,00:00:51,79,0.0,00:00,,,,0.00,,,
,00:00:52,78,0.0,00:00,,,,0.00,,,
,00:00:53,78,0.0,00:00,,,,0.00,,,
,00:00:54,77,0.0,00:00,,,,0.00,,,
,00:00:55,76,0.0,00:00,,,,0.00,,,
,00:00:56,76,0.0,00:00,,,,0.00,,,
,00:00:57,75,0.0,00:00,,,,0.00,,,
,00:00:58,75,0.0,00:00,,,,0.00,,,
,00:00:59,75,0.0,00:00,,,,0.00,,,
,00:01:00,75,0.0,00:00,,,,0.00,,,
,00:01:01,74,0.0,00:00,,,,0.00,,,
,00:01:02,74,0.0,00:00,,,,0.00,,,
,00:01:03,74,0.0,00:00,,,,0.00,,,
,00:01:04,74,0.0,00:00,,,,0.00,,,
,00:01:05,73,0.0,00:00,,,,0.00,,,
,00:01:06,73,0.0,00:00,,,,0.00,,,
,00:01:07,73,0.0,00:00,,,,0.00,,,
,00:01:08,73,0.0,00:00,,,,0.00,,,
,00:01:09,73,0.0,00:00,,,,0.00,,,
,00:01:10,74,0.0,00:00,,,,0.00,,,
,00:01:11,74,0.0,00:00,,,,0.00,,,
,00:01:12,74,0.0,00:00,,,,0.00,,,
,00:01:13,74,0.0,00:00,,,,0.00,,,
,00:01:14,75,0.0,00:00,,,,0.00,,,
,00:01:15,75,0.0,00:00,,,,0.00,,,
,00:01:16,75,0.0,00:00,,,,0.00,,,
,00:01:17,75,0.0,00:00,,,,0.00,,,
,00:01:18,75,0.0,00:00,,,,0.00,,,
,00:01:19,75,0.0,00:00,,,,0.00,,,
,00:01:20,74,0.0,00:00,,,,0.00,,,
,00:01:21,75,0.0,00:00,,,,0.00,,,
,00:01:22,75,0.0,00:00,,,,0.00,,,
,00:01:23,75,0.0,00:00,,,,0.00,,,
,00:01:24,76,0.0,00:00,,,,0.00,,,
,00:01:25,76,0.0,00:00,,,,0.00,,,
,00:01:26,77,0.0,00:00,,,,0.00,,,
,00:01:27,77,0.0,00:00,,,,0.00,,,
,00:01:28,77,0.0,00:00,,,,0.00,,,
,00:01:29,77,0.0,00:00,,,,0.00,,,
,00:01:30,77,0.0,00:00,,,,0.00,,,
,00:01:31,76,0.0,00:00,,,,0.00,,,
,00:01:32,77,0.0,00:00,,,,0.00,,,
,00:01:33,78,0.0,00:00,,,,0.00,,,
,00:01:34,78,0.0,00:00,,,,0.00,,,
,00:01:35,78,0.0,00:00,,,,0.00,,,
,00:01:36,80,0.0,00:00,,,,0.00,,,
,00:01:37,80,0.0,00:00,,,,0.00,,,
,00:01:38,80,0.0,00:00,,,,0.00,,,
,00:01:39,81,0.0,00:00,,,,0.00,,,
,00:01:40,81,0.0,00:00,,,,0.00,,,
,00:01:41,81,0.0,00:00,,,,0.00,,,
,00:01:42,81,0.0,00:00,,,,0.00,,,
,00:01:43,81,0.0,00:00,,,,0.00,,,
,00:01:44,81,0.0,00:00,,,,0.00,,,
,00:01:45,80,0.0,00:00,,,,0.00,,,
,00:01:46,80,0.0,00:00,,,,0.00,,,
,00:01:47,81,0.0,00:00,,,,0.00,,,
,00:01:48,81,0.0,00:00,,,,0.00,,,
,00:01:49,82,0.0,00:00,,,,0.00,,,
,00:01:50,82,0.0,00:00,,,,0.00,,,
,00:01:51,82,0.0,00:00,,,,0.00,,,
,00:01:52,82,0.0,00:00,,,,0.00,,,
,00:01:53,83,0.0,00:00,,,,0.00,,,
,00:01:54,85,0.0,00:00,,,,0.00,,,
,00:01:55,85,0.0,00:00,,,,0.00,,,
,00:01:56,87,0.0,00:00,,,,0.00,,,
,00:01:57,87,0.0,00:00,,,,0.00,,,
,00:01:58,87,0.0,00:00,,,,0.00,,,
,00:01:59,88,0.0,00:00,,,,0.00,,,
,00:02:00,89,0.0,00:00,,,,0.00,,,
,00:02:01,92,0.0,00:00,,,,0.00,,,
,00:02:02,93,0.0,00:00,,,,0.00,,,
,00:02:03,94,0.0,00:00,,,,0.00,,,
,00:02:04,91,0.0,00:00,,,,0.00,,,
,00:02:05,87,0.0,00:00,,,,0.00,,,
,00:02:06,87,0.0,00:00,,,,0.00,,,
,00:02:07,87,0.0,00:00,,,,0.00,,,
,00:02:08,87,0.0,00:00,,,,0.00,,,
,00:02:09,87,0.0,00:00,,,,0.00,,,
,00:02:10,84,0.0,00:00,,,,0.00,,,
,00:02:11,84,0.0,00:00,,,,0.00,,,
,00:02:12,84,0.0,00:00,,,,0.00,,,
,00:02:13,83,0.0,00:00,,,,0.00,,,
,00:02:14,83,0.0,00:00,,,,0.00,,,
,00:02:15,84,0.0,00:00,,,,0.00,,,
,00:02:16,85,0.0,00:00,,,,0.00,,,
,00:02:17,83,0.0,00:00,,,,0.00,,,
,00:02:18,83,0.0,00:00,,,,0.00,,,
,00:02:19,82,0.0,00:00,,,,0.00,,,
,00:02:20,81,0.0,00:00,,,,0.00,,,
,00:02:21,80,0.0,00:00,,,,0.00,,,
,00:02:22,81,0.0,00:00,,,,0.00,,,
,00:02:23,81,0.0,00:00,,,,0.00,,,
,00:02:24,82,0.0,00:00,,,,0.00,,,
,00:02:25,82,0.0,00:00,,,,0.00,,,
,00:02:26,80,0.0,00:00,,,,0.00,,,
,00:02:27,80,0.0,00:00,,,,0.00,,,
,00:02:28,78,0.0,00:00,,,,0.00,,,
,00:02:29,78,0.0,00:00,,,,0.00,,,
,00:02:30,78,0.0,00:00,,,,0.00,,,
,00:02:31,78,0.0,00:00,,,,0.00,,,
,00:02:32,77,0.0,00:00,,,,0.00,,,
,00:02:33,77,0.0,00:00,,,,0.00,,,
,00:02:34,77,0.0,00:00,,,,0.00,,,
,00:02:35,77,0.0,00:00,,,,0.00,,,
,00:02:36,76,0.0,00:00,,,,0.00,,,
,00:02:37,75,0.0,00:00,,,,0.00,,,
,00:02:38,75,0.0,00:00,,,,0.00,,,
,00:02:39,76,0.0,00:00,,,,0.00,,,
,00:02:40,75,0.0,00:00,,,,0.00,,,
,00:02:41,75,0.0,00:00,,,,0.00,,,
,00:02:42,75,0.0,00:00,,,,0.00,,,
,00:02:43,76,0.0,00:00,,,,0.00,,,
,00:02:44,77,0.0,00:00,,,,0.00,,,
,00:02:45,78,0.0,00:00,,,,0.00,,,
,00:02:46,79,0.0,00:00,,,,0.00,,,
,00:02:47,79,0.0,00:00,,,,0.00,,,
,00:02:48,80,0.0,00:00,,,,0.00,,,
,00:02:49,80,0.0,00:00,,,,0.00,,,
,00:02:50,80,0.0,00:00,,,,0.00,,,
,00:02:51,82,0.0,00:00,,,,0.00,,,
,00:02:52,82,0.0,00:00,,,,0.00,,,
,00:02:53,83,0.0,00:00,,,,0.00,,,
,00:02:54,83,0.0,00:00,,,,0.00,,,
,00:02:55,85,0.0,00:00,,,,0.00,,,
,00:02:56,85,0.0,00:00,,,,0.00,,,
,00:02:57,86,0.0,00:00,,,,0.00,,,
,00:02:58,86,0.0,00:00,,,,0.00,,,
,00:02:59,84,0.0,00:00,,,,0.00,,,
,00:03:00,83,0.0,00:00,,,,0.00,,,
,00:03:01,83,0.0,00:00,,,,0.00,,,
,00:03:02,82,0.0,00:00,,,,0.00,,,
,00:03:03,79,0.0,00:00,,,,0.00,,,
,00:03:04,79,0.0,00:00,,,,0.00,,,
,00:03:05,79,0.0,00:00,,,,0.00,,,
,00:03:06,79,0.0,00:00,,,,0.00,,,
,00:03:07,80,0.0,00:00,,,,0.00,,,
,00:03:08,81,0.0,00:00,,,,0.00,,,
,00:03:09,81,0.0,00:00,,,,0.00,,,
,00:03:10,81,0.0,00:00,,,,0.00,,,
,00:03:11,81,0.0,00:00,,,,0.00,,,
,00:03:12,81,0.0,00:00,,,,0.00,,,
,00:03:13,80,0.0,00:00,,,,0.00,,,
,00:03:14,77,0.0,00:00,,,,0.00,,,
,00:03:15,77,0.0,00:00,,,,0.00,,,
,00:03:16,77,0.0,00:00,,,,0.00,,,
,00:03:17,77,0.0,00:00,,,,0.00,,,
,00:03:18,77,0.0,00:00,,,,0.00,,,
,00:03:19,77,0.0,00:00,,,,0.00,,,
,00:03:20,77,0.0,00:00,,,,0.00,,,
,00:03:21,77,0.0,00:00,,,,0.00,,,
,00:03:22,77,0.0,00:00,,,,0.00,,,
,00:03:23,77,0.0,00:00,,,,0.00,,,
,00:03:24,77,0.0,00:00,,,,0.00,,,
,00:03:25,77,0.0,00:00,,,,0.00,,,
,00:03:26,78,0.0,00:00,,,,0.00,,,
,00:03:27,78,0.0,00:00,,,,0.00,,,
,00:03:28,77,0.0,00:00,,,,0.00,,,
,00:03:29,76,0.0,00:00,,,,0.00,,,
,00:03:30,76,0.0,00:00,,,,0.00,,,
,00:03:31,76,0.0,00:00,,,,0.00,,,
,00:03:32,75,0.0,00:00,,,,0.00,,,
,00:03:33,75,0.0,00:00,,,,0.00,,,
,00:03:34,75,0.0,00:00,,,,0.00,,,
,00:03:35,76,0.0,00:00,,,,0.00,,,
,00:03:36,76,0.0,00:00,,,,0.00,,,
,00:03:37,77,0.0,00:00,,,,0.00,,,
,00:03:38,78,0.0,00:00,,,,0.00,,,
,00:03:39,78,0.0,00:00,,,,0.00,,,
,00:03:40,78,0.0,00:00,,,,0.00,,,
,00:03:41,79,0.0,00:00,,,,0.00,,,
,00:03:42,79,0.0,00:00,,,,0.00,,,
,00:03:43,79,0.0,00:00,,,,0.00,,,
,00:03:44,80,0.0,00:00,,,,0.00,,,
,00:03:45,80,0.0,00:00,,,,0.00,,,
,00:03:46,79,0.0,00:00,,,,0.00,,,
,00:03:47,80,0.0,00:00,,,,0.00,,,
,00:03:48,81,0.0,00:00,,,,0.00,,,
,00:03:49,81,0.0,00:00,,,,0.00,,,
,00:03:50,84,0.0,00:00,,,,0.00,,,
,00:03:51,84,0.0,00:00,,,,0.00,,,
,00:03:52,84,0.0,00:00,,,,0.00,,,
,00:03:53,83,0.0,00:00,,,,0.00,,,
,00:03:54,83,0.0,00:00,,,,0.00,,,
,00:03:55,81,0.0,00:00,,,,0.00,,,
,00:03:56,81,0.0,00:00,,,,0.00,,,
,00:03:57,80,0.0,00:00,,,,0.00,,,
,00:03:58,79,0.0,00:00,,,,0.00,,,
,00:03:59,79,0.0,00:00,,,,0.00,,,
,00:04:00,79,0.0,00:00,,,,0.00,,,
,00:04:01,79,0.0,00:00,,,,0.00,,,
,00:04:02,79,0.0,00:00,,,,0.00,,,
,00:04:03,79,0.0,00:00,,,,0.00,,,
,00:04:04,78,0.0,00:00,,,,0.00,,,
,00:04:05,78,0.0,00:00,,,,0.00,,,
