Elapsed time, MotionVR pitch, MotionVR roll, MotionVR heave, StaticVR ML, StaticVR AP, Static ML raw, StaticVR AP raw
0.001,0,0,0,0.02260172,-0.2582055,0.01891232,-0.2737464
0.010,0,0,0,0.02239537,-0.2590867,0.01891232,-0.2737464
0.021,0,0,0,0.02214742,-0.260104,0.01891232,-0.2737464
0.032,0,0,0,0.02188349,-0.2611665,0.01891232,-0.2737464
0.043,0,0,0,0.0216167,-0.2622286,0.01891232,-0.2737464
0.054,0,0,0,0.02132416,-0.2633498,0.01815224,-0.2758849
0.065,0,0,0,0.02102757,-0.264474,0.01815224,-0.2758849
0.076,0,0,0,0.02070427,-0.265586,0.01727986,-0.2762136
0.088,0,0,0,0.02037764,-0.266665,0.01727986,-0.2762136
0.099,0,0,0,0.02005959,-0.2677005,0.01727986,-0.2762136
0.110,0,0,0,0.01975632,-0.268684,0.01727986,-0.2762136
0.122,0,0,0,0.0195173,-0.2696469,0.01848304,-0.2771341
0.133,0,0,0,0.01929307,-0.2705534,0.01781976,-0.2768146
0.144,0,0,0,0.01908565,-0.2713984,0.01781976,-0.2768146
0.155,0,0,0,0.01889575,-0.2721793,0.01781976,-0.2768146
0.166,0,0,0,0.0187515,-0.2729009,0.01853514,-0.2769673
0.177,0,0,0,0.01859927,-0.273607,0.01751363,-0.2782465
0.187,0,0,0,0.01845133,-0.2742683,0.01751363,-0.2782465
0.199,0,0,0,0.01831412,-0.2748702,0.01751363,-0.2782465
0.210,0,0,0,0.01819086,-0.2754053,0.01751363,-0.2782465
0.221,0,0,0,0.01808298,-0.2758698,0.01699388,-0.2764896
0.232,0,0,0,0.01796842,-0.2762033,0.01699388,-0.2764896
0.243,0,0,0,0.01784027,-0.276413,0.01657701,-0.2755266
0.255,0,0,0,0.017712,-0.2765414,0.01657701,-0.2755266
0.266,0,0,0,0.01759028,-0.2766095,0.01657701,-0.2755266
0.277,0,0,0,0.01747823,-0.2766281,0.01657701,-0.2755266
0.288,0,0,0,0.01740026,-0.2764593,0.0171299,-0.2716068
0.300,0,0,0,0.01734221,-0.2761999,0.0171299,-0.2716068
0.310,0,0,0,0.01721859,-0.2757918,0.01509511,-0.2688283
0.322,0,0,0,0.01706815,-0.2753169,0.01509511,-0.2688283
0.333,0,0,0,0.01691008,-0.2748161,0.01509511,-0.2688283
0.344,0,0,0,0.01675296,-0.2743132,0.01509511,-0.2688283
0.355,0,0,0,0.01651645,-0.2737207,0.01289785,-0.2662437
0.367,0,0,0,0.01624703,-0.2730988,0.01289785,-0.2662437
0.378,0,0,0,0.01596785,-0.2724776,0.01289785,-0.2662437
0.389,0,0,0,0.01569057,-0.2718719,0.01289785,-0.2662437
0.400,0,0,0,0.01542091,-0.2712893,0.01289785,-0.2662437
0.412,0,0,0,0.01516461,-0.2705394,0.01365805,-0.2581767
0.423,0,0,0,0.01495087,-0.2696153,0.01365805,-0.2581767
0.434,0,0,0,0.01476479,-0.2686328,0.01365805,-0.2581767
0.445,0,0,0,0.01459897,-0.2676498,0.01365805,-0.2581767
0.456,0,0,0,0.01445079,-0.2666955,0.01472819,-0.2575055
0.468,0,0,0,0.01435852,-0.2657605,0.01472819,-0.2575055
0.479,0,0,0,0.01429486,-0.2648299,0.01463664,-0.2565334
0.490,0,0,0,0.01425004,-0.2639347,0.01463664,-0.2565334
0.501,0,0,0,0.01421905,-0.2630907,0.01463664,-0.2565334
0.512,0,0,0,0.01419938,-0.2623057,0.01463664,-0.2565334
0.523,0,0,0,0.01425314,-0.2615022,0.01630354,-0.2544881
0.535,0,0,0,0.01434386,-0.2607218,0.01630354,-0.2544881
0.546,0,0,0,0.01443481,-0.2598822,0.01581132,-0.2518052
0.557,0,0,0,0.01452684,-0.2590494,0.01581132,-0.2518052
0.567,0,0,0,0.01462078,-0.2582565,0.01581132,-0.2518052
0.578,0,0,0,0.01472235,-0.2575194,0.0159328,-0.2519436
0.590,0,0,0,0.01481414,-0.2568171,0.01553714,-0.2513365
0.601,0,0,0,0.01490057,-0.2561591,0.01553714,-0.2513365
0.612,0,0,0,0.01498365,-0.2555501,0.01553714,-0.2513365
0.623,0,0,0,0.01506424,-0.2549926,0.01553714,-0.2513365
0.635,0,0,0,0.01513863,-0.2545294,0.01542163,-0.2524191
0.646,0,0,0,0.01520586,-0.2541345,0.01542163,-0.2524191
0.657,0,0,0,0.01525211,-0.2538249,0.01506579,-0.2531935
0.668,0,0,0,0.01528454,-0.253578,0.01506579,-0.2531935
0.679,0,0,0,0.01530647,-0.2533826,0.01506579,-0.2531935
0.690,0,0,0,0.01532006,-0.2532328,0.01376462,-0.2554176
0.702,0,0,0,0.01527596,-0.2532039,0.01376462,-0.2554176
0.713,0,0,0,0.01519156,-0.2532904,0.01346648,-0.2567411
0.726,0,0,0,0.01508725,-0.2534368,0.01346648,-0.2567411
0.735,0,0,0,0.01497316,-0.2536155,0.01346648,-0.2567411
0.747,0,0,0,0.01485455,-0.2538124,0.01346648,-0.2567411
