Row,EMG-1,EMG-2,EMG-3,EMG-4,EMG-5,EMG-6
baseline,182.29307194801,449.676499446473,1090.86366138344,1766.56000884475,507.249862925127,956.721733690489
hands-off,290.709256776879,588.99599115464,1463.68561189223,1263.43469468716,545.684891401222,1565.81843730441
25%,365.841573564805,703.52779030919,1733.10453433928,886.286599371457,641.759408353147,2199.4540305375
50%,439.263580171706,774.262685020296,1956.44021018346,601.241863200373,726.308164611123,2660.87888451352
75%,518.817666955193,775.604310922736,2020.2280440312,584.627955726856,701.773537706912,2895.51264901132
hands-off_2,577.508538733715,775.686738936303,2035.15294889522,566.594207252287,703.351893806434,2930.73327588517
