Time,SpO2(%),Pulse Rate(bpm),Motion,Vibration
11:37:09 Jun 22 2020,91,96,0,0
11:37:13 Jun 22 2020,91,96,0,0
11:37:17 Jun 22 2020,91,96,3,0
11:37:21 Jun 22 2020,91,96,2,0
11:37:25 Jun 22 2020,91,96,32,0
11:37:29 Jun 22 2020,91,96,41,0
11:37:33 Jun 22 2020,91,96,18,0
11:37:37 Jun 22 2020,91,96,0,0
11:37:41 Jun 22 2020,91,96,16,0
11:37:45 Jun 22 2020,91,96,5,0
11:37:49 Jun 22 2020,91,96,35,0
11:37:53 Jun 22 2020,91,96,4,0
11:37:57 Jun 22 2020,91,96,7,0
11:38:01 Jun 22 2020,91,96,0,0
11:38:05 Jun 22 2020,92,99,12,0
11:38:09 Jun 22 2020,92,99,18,0
11:38:13 Jun 22 2020,92,99,7,0
11:38:17 Jun 22 2020,92,100,12,0
11:38:21 Jun 22 2020,94,97,2,0
11:38:25 Jun 22 2020,95,98,40,0
11:38:29 Jun 22 2020,95,99,3,0
11:38:33 Jun 22 2020,95,99,0,0
11:38:37 Jun 22 2020,95,99,1,0
11:38:41 Jun 22 2020,97,101,0,0
11:38:45 Jun 22 2020,98,104,1,0
11:38:49 Jun 22 2020,98,104,21,0
11:38:53 Jun 22 2020,98,104,36,0
11:38:57 Jun 22 2020,98,104,132,0
11:39:01 Jun 22 2020,98,104,128,0
11:39:05 Jun 22 2020,98,104,4,0
11:39:09 Jun 22 2020,99,106,0,0
11:39:13 Jun 22 2020,99,104,0,0
11:39:17 Jun 22 2020,98,103,0,0
11:39:21 Jun 22 2020,98,98,0,0
11:39:25 Jun 22 2020,98,99,0,0
11:39:29 Jun 22 2020,98,99,0,0
11:39:33 Jun 22 2020,98,96,5,0
11:39:37 Jun 22 2020,98,99,0,0
11:39:41 Jun 22 2020,98,97,0,0
11:39:45 Jun 22 2020,97,97,4,0
11:39:49 Jun 22 2020,98,98,0,0
11:39:53 Jun 22 2020,97,98,0,0
11:39:57 Jun 22 2020,98,100,0,0
11:40:01 Jun 22 2020,98,100,0,0
11:40:05 Jun 22 2020,98,100,0,0
11:40:09 Jun 22 2020,98,100,0,0
11:40:13 Jun 22 2020,98,100,0,0
11:40:17 Jun 22 2020,98,100,0,0
11:40:21 Jun 22 2020,98,100,0,0
11:40:25 Jun 22 2020,98,100,0,0
11:40:29 Jun 22 2020,98,99,0,0
11:40:33 Jun 22 2020,98,100,1,0
11:40:37 Jun 22 2020,98,96,1,0
11:40:41 Jun 22 2020,98,96,5,0
11:40:45 Jun 22 2020,98,96,1,0
11:40:49 Jun 22 2020,98,96,2,0
11:40:53 Jun 22 2020,98,97,0,0
11:40:57 Jun 22 2020,98,97,1,0
11:41:01 Jun 22 2020,98,97,9,0
11:41:05 Jun 22 2020,98,97,1,0
11:41:09 Jun 22 2020,98,97,1,0
11:41:13 Jun 22 2020,98,96,5,0
11:41:17 Jun 22 2020,98,96,4,0
11:41:21 Jun 22 2020,98,92,8,0
11:41:25 Jun 22 2020,98,91,1,0
11:41:29 Jun 22 2020,97,84,1,0
11:41:33 Jun 22 2020,98,86,34,0
11:41:37 Jun 22 2020,98,86,4,0
11:41:41 Jun 22 2020,98,86,2,0
11:41:45 Jun 22 2020,98,86,2,0
11:41:49 Jun 22 2020,98,86,5,0
11:41:53 Jun 22 2020,98,86,0,0
11:41:57 Jun 22 2020,98,86,3,0
11:42:01 Jun 22 2020,97,87,1,0
11:42:05 Jun 22 2020,97,87,4,0
11:42:09 Jun 22 2020,97,87,2,0
11:42:13 Jun 22 2020,97,87,2,0
11:42:17 Jun 22 2020,97,87,3,0
11:42:21 Jun 22 2020,97,87,4,0
11:42:25 Jun 22 2020,97,87,2,0
11:42:29 Jun 22 2020,97,87,2,0
11:42:33 Jun 22 2020,97,87,1,0
11:42:37 Jun 22 2020,97,87,3,0
11:42:41 Jun 22 2020,97,84,2,0
11:42:45 Jun 22 2020,97,84,5,0
11:42:49 Jun 22 2020,97,84,3,0
11:42:53 Jun 22 2020,97,85,3,0
11:42:57 Jun 22 2020,97,85,8,0
11:43:01 Jun 22 2020,97,85,8,0
11:43:05 Jun 22 2020,97,84,7,0
11:43:09 Jun 22 2020,97,87,6,0
11:43:13 Jun 22 2020,96,83,15,0
11:43:17 Jun 22 2020,97,87,3,0
11:43:21 Jun 22 2020,97,87,3,0
11:43:25 Jun 22 2020,97,87,4,0
11:43:29 Jun 22 2020,97,87,3,0
11:43:33 Jun 22 2020,97,87,7,0
11:43:37 Jun 22 2020,96,82,4,0
11:43:41 Jun 22 2020,96,82,6,0
11:43:45 Jun 22 2020,96,79,6,0
11:43:49 Jun 22 2020,96,81,0,0
11:43:53 Jun 22 2020,96,81,8,0
11:43:57 Jun 22 2020,96,81,3,0
11:44:01 Jun 22 2020,96,84,2,0
11:44:05 Jun 22 2020,96,86,2,0
11:44:09 Jun 22 2020,96,87,7,0
11:44:13 Jun 22 2020,96,89,4,0
11:44:17 Jun 22 2020,96,89,18,0
11:44:21 Jun 22 2020,96,89,4,0
11:44:25 Jun 22 2020,96,89,1,0
11:44:29 Jun 22 2020,96,89,1,0
11:44:33 Jun 22 2020,96,89,33,0
11:44:37 Jun 22 2020,96,89,33,0
11:44:41 Jun 22 2020,96,89,0,0
11:44:45 Jun 22 2020,97,87,1,0
11:44:49 Jun 22 2020,97,87,5,0
11:44:53 Jun 22 2020,97,87,17,0
11:44:57 Jun 22 2020,97,87,48,0
11:45:01 Jun 22 2020,97,87,88,0
11:45:05 Jun 22 2020,97,87,3,0
11:45:09 Jun 22 2020,97,95,5,0
11:45:13 Jun 22 2020,97,95,5,0
11:45:17 Jun 22 2020,97,99,0,0
11:45:21 Jun 22 2020,97,103,39,0
11:45:25 Jun 22 2020,255,65535,36,0
11:45:29 Jun 22 2020,255,65535,5,0
11:45:33 Jun 22 2020,255,65535,5,0
