Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
BioEng Lab,RUNNING,22-06-2020,11:38:57,00:09:33,,94,0.0,,00:00,,33,57,,,,,,,,,,170.0,70.0,198,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,98,0.0,00:00,,,,0.00,,,
,00:00:01,97,0.0,00:00,,,,0.00,,,
,00:00:02,96,0.0,00:00,,,,0.00,,,
,00:00:03,97,0.0,00:00,,,,0.00,,,
,00:00:04,98,0.0,00:00,,,,0.00,,,
,00:00:05,99,0.0,00:00,,,,0.00,,,
,00:00:06,99,0.0,00:00,,,,0.00,,,
,00:00:07,99,0.0,00:00,,,,0.00,,,
,00:00:08,99,0.0,00:00,,,,0.00,,,
,00:00:09,101,0.0,00:00,,,,0.00,,,
,00:00:10,101,0.0,00:00,,,,0.00,,,
,00:00:11,102,0.0,00:00,,,,0.00,,,
,00:00:12,102,0.0,00:00,,,,0.00,,,
,00:00:13,103,0.0,00:00,,,,0.00,,,
,00:00:14,103,0.0,00:00,,,,0.00,,,
,00:00:15,103,0.0,00:00,,,,0.00,,,
,00:00:16,102,0.0,00:00,,,,0.00,,,
,00:00:17,101,0.0,00:00,,,,0.00,,,
,00:00:18,100,0.0,00:00,,,,0.00,,,
,00:00:19,100,0.0,00:00,,,,0.00,,,
,00:00:20,100,0.0,00:00,,,,0.00,,,
,00:00:21,101,0.0,00:00,,,,0.00,,,
,00:00:22,102,0.0,00:00,,,,0.00,,,
,00:00:23,102,0.0,00:00,,,,0.00,,,
,00:00:24,101,0.0,00:00,,,,0.00,,,
,00:00:25,100,0.0,00:00,,,,0.00,,,
,00:00:26,99,0.0,00:00,,,,0.00,,,
,00:00:27,99,0.0,00:00,,,,0.00,,,
,00:00:28,100,0.0,00:00,,,,0.00,,,
,00:00:29,100,0.0,00:00,,,,0.00,,,
,00:00:30,102,0.0,00:00,,,,0.00,,,
,00:00:31,103,0.0,00:00,,,,0.00,,,
,00:00:32,100,0.0,00:00,,,,0.00,,,
,00:00:33,97,0.0,00:00,,,,0.00,,,
,00:00:34,93,0.0,00:00,,,,0.00,,,
,00:00:35,92,0.0,00:00,,,,0.00,,,
,00:00:36,92,0.0,00:00,,,,0.00,,,
,00:00:37,93,0.0,00:00,,,,0.00,,,
,00:00:38,94,0.0,00:00,,,,0.00,,,
,00:00:39,97,0.0,00:00,,,,0.00,,,
,00:00:40,98,0.0,00:00,,,,0.00,,,
,00:00:41,98,0.0,00:00,,,,0.00,,,
,00:00:42,97,0.0,00:00,,,,0.00,,,
,00:00:43,96,0.0,00:00,,,,0.00,,,
,00:00:44,95,0.0,00:00,,,,0.00,,,
,00:00:45,97,0.0,00:00,,,,0.00,,,
,00:00:46,98,0.0,00:00,,,,0.00,,,
,00:00:47,99,0.0,00:00,,,,0.00,,,
,00:00:48,99,0.0,00:00,,,,0.00,,,
,00:00:49,98,0.0,00:00,,,,0.00,,,
,00:00:50,97,0.0,00:00,,,,0.00,,,
,00:00:51,96,0.0,00:00,,,,0.00,,,
,00:00:52,96,0.0,00:00,,,,0.00,,,
,00:00:53,98,0.0,00:00,,,,0.00,,,
,00:00:54,99,0.0,00:00,,,,0.00,,,
,00:00:55,102,0.0,00:00,,,,0.00,,,
,00:00:56,102,0.0,00:00,,,,0.00,,,
,00:00:57,102,0.0,00:00,,,,0.00,,,
,00:00:58,101,0.0,00:00,,,,0.00,,,
,00:00:59,100,0.0,00:00,,,,0.00,,,
,00:01:00,100,0.0,00:00,,,,0.00,,,
,00:01:01,99,0.0,00:00,,,,0.00,,,
,00:01:02,98,0.0,00:00,,,,0.00,,,
,00:01:03,96,0.0,00:00,,,,0.00,,,
,00:01:04,96,0.0,00:00,,,,0.00,,,
,00:01:05,99,0.0,00:00,,,,0.00,,,
,00:01:06,100,0.0,00:00,,,,0.00,,,
,00:01:07,99,0.0,00:00,,,,0.00,,,
,00:01:08,97,0.0,00:00,,,,0.00,,,
,00:01:09,96,0.0,00:00,,,,0.00,,,
,00:01:10,94,0.0,00:00,,,,0.00,,,
,00:01:11,94,0.0,00:00,,,,0.00,,,
,00:01:12,95,0.0,00:00,,,,0.00,,,
,00:01:13,97,0.0,00:00,,,,0.00,,,
,00:01:14,98,0.0,00:00,,,,0.00,,,
,00:01:15,98,0.0,00:00,,,,0.00,,,
,00:01:16,98,0.0,00:00,,,,0.00,,,
,00:01:17,98,0.0,00:00,,,,0.00,,,
,00:01:18,98,0.0,00:00,,,,0.00,,,
,00:01:19,97,0.0,00:00,,,,0.00,,,
,00:01:20,99,0.0,00:00,,,,0.00,,,
,00:01:21,101,0.0,00:00,,,,0.00,,,
,00:01:22,102,0.0,00:00,,,,0.00,,,
,00:01:23,104,0.0,00:00,,,,0.00,,,
,00:01:24,104,0.0,00:00,,,,0.00,,,
,00:01:25,103,0.0,00:00,,,,0.00,,,
,00:01:26,100,0.0,00:00,,,,0.00,,,
,00:01:27,98,0.0,00:00,,,,0.00,,,
,00:01:28,98,0.0,00:00,,,,0.00,,,
,00:01:29,100,0.0,00:00,,,,0.00,,,
,00:01:30,100,0.0,00:00,,,,0.00,,,
,00:01:31,105,0.0,00:00,,,,0.00,,,
,00:01:32,106,0.0,00:00,,,,0.00,,,
,00:01:33,106,0.0,00:00,,,,0.00,,,
,00:01:34,103,0.0,00:00,,,,0.00,,,
,00:01:35,99,0.0,00:00,,,,0.00,,,
,00:01:36,99,0.0,00:00,,,,0.00,,,
,00:01:37,99,0.0,00:00,,,,0.00,,,
,00:01:38,100,0.0,00:00,,,,0.00,,,
,00:01:39,102,0.0,00:00,,,,0.00,,,
,00:01:40,105,0.0,00:00,,,,0.00,,,
,00:01:41,106,0.0,00:00,,,,0.00,,,
,00:01:42,106,0.0,00:00,,,,0.00,,,
,00:01:43,104,0.0,00:00,,,,0.00,,,
,00:01:44,100,0.0,00:00,,,,0.00,,,
,00:01:45,95,0.0,00:00,,,,0.00,,,
,00:01:46,95,0.0,00:00,,,,0.00,,,
,00:01:47,98,0.0,00:00,,,,0.00,,,
,00:01:48,98,0.0,00:00,,,,0.00,,,
,00:01:49,101,0.0,00:00,,,,0.00,,,
,00:01:50,102,0.0,00:00,,,,0.00,,,
,00:01:51,105,0.0,00:00,,,,0.00,,,
,00:01:52,105,0.0,00:00,,,,0.00,,,
,00:01:53,102,0.0,00:00,,,,0.00,,,
,00:01:54,99,0.0,00:00,,,,0.00,,,
,00:01:55,99,0.0,00:00,,,,0.00,,,
,00:01:56,100,0.0,00:00,,,,0.00,,,
,00:01:57,102,0.0,00:00,,,,0.00,,,
,00:01:58,103,0.0,00:00,,,,0.00,,,
,00:01:59,103,0.0,00:00,,,,0.00,,,
,00:02:00,104,0.0,00:00,,,,0.00,,,
,00:02:01,104,0.0,00:00,,,,0.00,,,
,00:02:02,101,0.0,00:00,,,,0.00,,,
,00:02:03,97,0.0,00:00,,,,0.00,,,
,00:02:04,96,0.0,00:00,,,,0.00,,,
,00:02:05,95,0.0,00:00,,,,0.00,,,
,00:02:06,97,0.0,00:00,,,,0.00,,,
,00:02:07,98,0.0,00:00,,,,0.00,,,
,00:02:08,99,0.0,00:00,,,,0.00,,,
,00:02:09,97,0.0,00:00,,,,0.00,,,
,00:02:10,95,0.0,00:00,,,,0.00,,,
,00:02:11,95,0.0,00:00,,,,0.00,,,
,00:02:12,95,0.0,00:00,,,,0.00,,,
,00:02:13,97,0.0,00:00,,,,0.00,,,
,00:02:14,99,0.0,00:00,,,,0.00,,,
,00:02:15,100,0.0,00:00,,,,0.00,,,
,00:02:16,100,0.0,00:00,,,,0.00,,,
,00:02:17,99,0.0,00:00,,,,0.00,,,
,00:02:18,96,0.0,00:00,,,,0.00,,,
,00:02:19,96,0.0,00:00,,,,0.00,,,
,00:02:20,95,0.0,00:00,,,,0.00,,,
,00:02:21,96,0.0,00:00,,,,0.00,,,
,00:02:22,97,0.0,00:00,,,,0.00,,,
,00:02:23,98,0.0,00:00,,,,0.00,,,
,00:02:24,98,0.0,00:00,,,,0.00,,,
,00:02:25,98,0.0,00:00,,,,0.00,,,
,00:02:26,96,0.0,00:00,,,,0.00,,,
,00:02:27,93,0.0,00:00,,,,0.00,,,
,00:02:28,92,0.0,00:00,,,,0.00,,,
,00:02:29,92,0.0,00:00,,,,0.00,,,
,00:02:30,95,0.0,00:00,,,,0.00,,,
,00:02:31,96,0.0,00:00,,,,0.00,,,
,00:02:32,96,0.0,00:00,,,,0.00,,,
,00:02:33,95,0.0,00:00,,,,0.00,,,
,00:02:34,94,0.0,00:00,,,,0.00,,,
,00:02:35,93,0.0,00:00,,,,0.00,,,
,00:02:36,93,0.0,00:00,,,,0.00,,,
,00:02:37,95,0.0,00:00,,,,0.00,,,
,00:02:38,95,0.0,00:00,,,,0.00,,,
,00:02:39,96,0.0,00:00,,,,0.00,,,
,00:02:40,100,0.0,00:00,,,,0.00,,,
,00:02:41,100,0.0,00:00,,,,0.00,,,
,00:02:42,99,0.0,00:00,,,,0.00,,,
,00:02:43,97,0.0,00:00,,,,0.00,,,
,00:02:44,90,0.0,00:00,,,,0.00,,,
,00:02:45,89,0.0,00:00,,,,0.00,,,
,00:02:46,89,0.0,00:00,,,,0.00,,,
,00:02:47,91,0.0,00:00,,,,0.00,,,
,00:02:48,91,0.0,00:00,,,,0.00,,,
,00:02:49,93,0.0,00:00,,,,0.00,,,
,00:02:50,95,0.0,00:00,,,,0.00,,,
,00:02:51,94,0.0,00:00,,,,0.00,,,
,00:02:52,94,0.0,00:00,,,,0.00,,,
,00:02:53,91,0.0,00:00,,,,0.00,,,
,00:02:54,90,0.0,00:00,,,,0.00,,,
,00:02:55,90,0.0,00:00,,,,0.00,,,
,00:02:56,91,0.0,00:00,,,,0.00,,,
,00:02:57,92,0.0,00:00,,,,0.00,,,
,00:02:58,93,0.0,00:00,,,,0.00,,,
,00:02:59,93,0.0,00:00,,,,0.00,,,
,00:03:00,94,0.0,00:00,,,,0.00,,,
,00:03:01,94,0.0,00:00,,,,0.00,,,
,00:03:02,91,0.0,00:00,,,,0.00,,,
,00:03:03,91,0.0,00:00,,,,0.00,,,
,00:03:04,88,0.0,00:00,,,,0.00,,,
,00:03:05,89,0.0,00:00,,,,0.00,,,
,00:03:06,90,0.0,00:00,,,,0.00,,,
,00:03:07,92,0.0,00:00,,,,0.00,,,
,00:03:08,92,0.0,00:00,,,,0.00,,,
,00:03:09,91,0.0,00:00,,,,0.00,,,
,00:03:10,91,0.0,00:00,,,,0.00,,,
,00:03:11,89,0.0,00:00,,,,0.00,,,
,00:03:12,89,0.0,00:00,,,,0.00,,,
,00:03:13,90,0.0,00:00,,,,0.00,,,
,00:03:14,90,0.0,00:00,,,,0.00,,,
,00:03:15,93,0.0,00:00,,,,0.00,,,
,00:03:16,93,0.0,00:00,,,,0.00,,,
,00:03:17,93,0.0,00:00,,,,0.00,,,
,00:03:18,91,0.0,00:00,,,,0.00,,,
,00:03:19,90,0.0,00:00,,,,0.00,,,
,00:03:20,91,0.0,00:00,,,,0.00,,,
,00:03:21,92,0.0,00:00,,,,0.00,,,
,00:03:22,92,0.0,00:00,,,,0.00,,,
,00:03:23,92,0.0,00:00,,,,0.00,,,
,00:03:24,95,0.0,00:00,,,,0.00,,,
,00:03:25,95,0.0,00:00,,,,0.00,,,
,00:03:26,94,0.0,00:00,,,,0.00,,,
,00:03:27,91,0.0,00:00,,,,0.00,,,
,00:03:28,90,0.0,00:00,,,,0.00,,,
,00:03:29,90,0.0,00:00,,,,0.00,,,
,00:03:30,90,0.0,00:00,,,,0.00,,,
,00:03:31,91,0.0,00:00,,,,0.00,,,
,00:03:32,93,0.0,00:00,,,,0.00,,,
,00:03:33,93,0.0,00:00,,,,0.00,,,
,00:03:34,91,0.0,00:00,,,,0.00,,,
,00:03:35,90,0.0,00:00,,,,0.00,,,
,00:03:36,90,0.0,00:00,,,,0.00,,,
,00:03:37,90,0.0,00:00,,,,0.00,,,
,00:03:38,91,0.0,00:00,,,,0.00,,,
,00:03:39,92,0.0,00:00,,,,0.00,,,
,00:03:40,93,0.0,00:00,,,,0.00,,,
,00:03:41,91,0.0,00:00,,,,0.00,,,
,00:03:42,89,0.0,00:00,,,,0.00,,,
,00:03:43,88,0.0,00:00,,,,0.00,,,
,00:03:44,88,0.0,00:00,,,,0.00,,,
,00:03:45,89,0.0,00:00,,,,0.00,,,
,00:03:46,90,0.0,00:00,,,,0.00,,,
,00:03:47,92,0.0,00:00,,,,0.00,,,
,00:03:48,92,0.0,00:00,,,,0.00,,,
,00:03:49,90,0.0,00:00,,,,0.00,,,
,00:03:50,90,0.0,00:00,,,,0.00,,,
,00:03:51,89,0.0,00:00,,,,0.00,,,
,00:03:52,89,0.0,00:00,,,,0.00,,,
,00:03:53,90,0.0,00:00,,,,0.00,,,
,00:03:54,91,0.0,00:00,,,,0.00,,,
,00:03:55,91,0.0,00:00,,,,0.00,,,
,00:03:56,92,0.0,00:00,,,,0.00,,,
,00:03:57,92,0.0,00:00,,,,0.00,,,
,00:03:58,92,0.0,00:00,,,,0.00,,,
,00:03:59,93,0.0,00:00,,,,0.00,,,
,00:04:00,94,0.0,00:00,,,,0.00,,,
,00:04:01,95,0.0,00:00,,,,0.00,,,
,00:04:02,95,0.0,00:00,,,,0.00,,,
,00:04:03,95,0.0,00:00,,,,0.00,,,
,00:04:04,94,0.0,00:00,,,,0.00,,,
,00:04:05,94,0.0,00:00,,,,0.00,,,
,00:04:06,94,0.0,00:00,,,,0.00,,,
,00:04:07,94,0.0,00:00,,,,0.00,,,
,00:04:08,96,0.0,00:00,,,,0.00,,,
,00:04:09,96,0.0,00:00,,,,0.00,,,
,00:04:10,96,0.0,00:00,,,,0.00,,,
,00:04:11,96,0.0,00:00,,,,0.00,,,
,00:04:12,96,0.0,00:00,,,,0.00,,,
,00:04:13,90,0.0,00:00,,,,0.00,,,
,00:04:14,89,0.0,00:00,,,,0.00,,,
,00:04:15,88,0.0,00:00,,,,0.00,,,
,00:04:16,88,0.0,00:00,,,,0.00,,,
,00:04:17,89,0.0,00:00,,,,0.00,,,
,00:04:18,90,0.0,00:00,,,,0.00,,,
,00:04:19,92,0.0,00:00,,,,0.00,,,
,00:04:20,92,0.0,00:00,,,,0.00,,,
,00:04:21,91,0.0,00:00,,,,0.00,,,
,00:04:22,88,0.0,00:00,,,,0.00,,,
,00:04:23,87,0.0,00:00,,,,0.00,,,
,00:04:24,86,0.0,00:00,,,,0.00,,,
,00:04:25,86,0.0,00:00,,,,0.00,,,
,00:04:26,87,0.0,00:00,,,,0.00,,,
,00:04:27,88,0.0,00:00,,,,0.00,,,
,00:04:28,90,0.0,00:00,,,,0.00,,,
,00:04:29,91,0.0,00:00,,,,0.00,,,
,00:04:30,90,0.0,00:00,,,,0.00,,,
,00:04:31,88,0.0,00:00,,,,0.00,,,
,00:04:32,85,0.0,00:00,,,,0.00,,,
,00:04:33,84,0.0,00:00,,,,0.00,,,
,00:04:34,84,0.0,00:00,,,,0.00,,,
,00:04:35,84,0.0,00:00,,,,0.00,,,
,00:04:36,86,0.0,00:00,,,,0.00,,,
,00:04:37,88,0.0,00:00,,,,0.00,,,
,00:04:38,89,0.0,00:00,,,,0.00,,,
,00:04:39,90,0.0,00:00,,,,0.00,,,
,00:04:40,89,0.0,00:00,,,,0.00,,,
,00:04:41,88,0.0,00:00,,,,0.00,,,
,00:04:42,86,0.0,00:00,,,,0.00,,,
,00:04:43,87,0.0,00:00,,,,0.00,,,
,00:04:44,87,0.0,00:00,,,,0.00,,,
,00:04:45,90,0.0,00:00,,,,0.00,,,
,00:04:46,91,0.0,00:00,,,,0.00,,,
,00:04:47,92,0.0,00:00,,,,0.00,,,
,00:04:48,92,0.0,00:00,,,,0.00,,,
,00:04:49,92,0.0,00:00,,,,0.00,,,
,00:04:50,90,0.0,00:00,,,,0.00,,,
,00:04:51,89,0.0,00:00,,,,0.00,,,
,00:04:52,89,0.0,00:00,,,,0.00,,,
,00:04:53,90,0.0,00:00,,,,0.00,,,
,00:04:54,91,0.0,00:00,,,,0.00,,,
,00:04:55,93,0.0,00:00,,,,0.00,,,
,00:04:56,93,0.0,00:00,,,,0.00,,,
,00:04:57,92,0.0,00:00,,,,0.00,,,
,00:04:58,91,0.0,00:00,,,,0.00,,,
,00:04:59,89,0.0,00:00,,,,0.00,,,
,00:05:00,89,0.0,00:00,,,,0.00,,,
,00:05:01,90,0.0,00:00,,,,0.00,,,
,00:05:02,91,0.0,00:00,,,,0.00,,,
,00:05:03,93,0.0,00:00,,,,0.00,,,
,00:05:04,93,0.0,00:00,,,,0.00,,,
,00:05:05,93,0.0,00:00,,,,0.00,,,
,00:05:06,92,0.0,00:00,,,,0.00,,,
,00:05:07,89,0.0,00:00,,,,0.00,,,
,00:05:08,87,0.0,00:00,,,,0.00,,,
,00:05:09,88,0.0,00:00,,,,0.00,,,
,00:05:10,89,0.0,00:00,,,,0.00,,,
,00:05:11,90,0.0,00:00,,,,0.00,,,
,00:05:12,92,0.0,00:00,,,,0.00,,,
,00:05:13,93,0.0,00:00,,,,0.00,,,
,00:05:14,93,0.0,00:00,,,,0.00,,,
,00:05:15,91,0.0,00:00,,,,0.00,,,
,00:05:16,89,0.0,00:00,,,,0.00,,,
,00:05:17,87,0.0,00:00,,,,0.00,,,
,00:05:18,86,0.0,00:00,,,,0.00,,,
,00:05:19,87,0.0,00:00,,,,0.00,,,
,00:05:20,90,0.0,00:00,,,,0.00,,,
,00:05:21,91,0.0,00:00,,,,0.00,,,
,00:05:22,92,0.0,00:00,,,,0.00,,,
,00:05:23,92,0.0,00:00,,,,0.00,,,
,00:05:24,92,0.0,00:00,,,,0.00,,,
,00:05:25,88,0.0,00:00,,,,0.00,,,
,00:05:26,87,0.0,00:00,,,,0.00,,,
,00:05:27,88,0.0,00:00,,,,0.00,,,
,00:05:28,89,0.0,00:00,,,,0.00,,,
,00:05:29,91,0.0,00:00,,,,0.00,,,
,00:05:30,93,0.0,00:00,,,,0.00,,,
,00:05:31,96,0.0,00:00,,,,0.00,,,
,00:05:32,96,0.0,00:00,,,,0.00,,,
,00:05:33,102,0.0,00:00,,,,0.00,,,
,00:05:34,103,0.0,00:00,,,,0.00,,,
,00:05:35,105,0.0,00:00,,,,0.00,,,
,00:05:36,105,0.0,00:00,,,,0.00,,,
,00:05:37,104,0.0,00:00,,,,0.00,,,
,00:05:38,101,0.0,00:00,,,,0.00,,,
,00:05:39,97,0.0,00:00,,,,0.00,,,
,00:05:40,95,0.0,00:00,,,,0.00,,,
,00:05:41,95,0.0,00:00,,,,0.00,,,
,00:05:42,96,0.0,00:00,,,,0.00,,,
,00:05:43,96,0.0,00:00,,,,0.00,,,
,00:05:44,96,0.0,00:00,,,,0.00,,,
,00:05:45,94,0.0,00:00,,,,0.00,,,
,00:05:46,93,0.0,00:00,,,,0.00,,,
,00:05:47,90,0.0,00:00,,,,0.00,,,
,00:05:48,90,0.0,00:00,,,,0.00,,,
,00:05:49,90,0.0,00:00,,,,0.00,,,
,00:05:50,91,0.0,00:00,,,,0.00,,,
,00:05:51,92,0.0,00:00,,,,0.00,,,
,00:05:52,95,0.0,00:00,,,,0.00,,,
,00:05:53,95,0.0,00:00,,,,0.00,,,
,00:05:54,95,0.0,00:00,,,,0.00,,,
,00:05:55,94,0.0,00:00,,,,0.00,,,
,00:05:56,94,0.0,00:00,,,,0.00,,,
,00:05:57,94,0.0,00:00,,,,0.00,,,
,00:05:58,95,0.0,00:00,,,,0.00,,,
,00:05:59,95,0.0,00:00,,,,0.00,,,
,00:06:00,97,0.0,00:00,,,,0.00,,,
,00:06:01,97,0.0,00:00,,,,0.00,,,
,00:06:02,97,0.0,00:00,,,,0.00,,,
,00:06:03,96,0.0,00:00,,,,0.00,,,
,00:06:04,95,0.0,00:00,,,,0.00,,,
,00:06:05,93,0.0,00:00,,,,0.00,,,
,00:06:06,93,0.0,00:00,,,,0.00,,,
,00:06:07,94,0.0,00:00,,,,0.00,,,
,00:06:08,96,0.0,00:00,,,,0.00,,,
,00:06:09,97,0.0,00:00,,,,0.00,,,
,00:06:10,99,0.0,00:00,,,,0.00,,,
,00:06:11,102,0.0,00:00,,,,0.00,,,
,00:06:12,105,0.0,00:00,,,,0.00,,,
